 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Surface Variation, Verticality, Class
2.477,1.21,1.65,0.6026,0.1652,0.8602,0.6004,0.9068,1
1.982,1.09,1.555,0.4442,0.1222,0.7689,0.6079,0.9035,1
1.855,1.22,1.689,0.4893,0.1391,0.812,0.5923,0.913,1
1.788,1.22,1.322,0.4955,0.1411,0.8188,0.5815,0.9365,1
2.295,1.09,1.595,0.5632,0.1531,0.8353,0.6168,0.8961,1
2.175,1.09,1.9,0.5812,0.157,0.8452,0.6039,0.9164,1
2.519,1.23,1.736,0.6147,0.1678,0.8615,0.6093,0.8876,1
1.439,1.21,1.77,0.4962,0.1401,0.8164,0.5833,0.9504,1
1.846,1.1,1.701,0.4807,0.1339,0.7974,0.608,0.9203,1
2.139,1.08,1.623,0.5678,0.1531,0.8363,0.6127,0.9339,1
2.511,1.22,1.715,0.5963,0.1636,0.8588,0.596,0.91,1
2.394,1.23,1.762,0.5938,0.1615,0.8521,0.607,0.8914,1
1.606,1.09,2.431,0.6028,0.1589,0.8396,0.6307,0.882,1
2.239,1.08,1.809,0.5584,0.151,0.8311,0.6185,0.8869,1
1.808,1.09,1.887,0.4907,0.1345,0.801,0.6022,0.9386,1
1.306,1.09,2.519,0.5246,0.1262,0.7515,0.7173,0.9459,1
1.723,1.09,1.987,0.4858,0.1314,0.7924,0.6109,0.9314,1
1.276,1.08,1.993,0.4732,0.1324,0.7943,0.6047,0.9295,1
1.761,1.24,1.337,0.5038,0.1447,0.8265,0.5823,0.9035,1
1.721,1.21,2.032,0.4999,0.1411,0.8187,0.583,0.9218,1
1.844,1.12,2.022,0.5458,0.1492,0.8287,0.6152,0.8839,1
1.462,1.22,1.757,0.4951,0.1397,0.8152,0.5844,0.9319,1
1.951,1.09,1.857,0.5639,0.1506,0.8283,0.6248,0.9068,1
1.563,1.09,1.928,0.4714,0.1321,0.7936,0.6044,0.933,1
1.632,1.24,2.217,0.6115,0.1681,0.8646,0.6013,0.8895,1
1.374,1.08,1.957,0.473,0.1312,0.7915,0.6064,0.9352,1
1.592,1.09,2.201,0.5609,0.1494,0.825,0.6284,0.8949,1
2.492,1.22,1.732,0.5923,0.1639,0.8597,0.5967,0.9053,1
1.553,1.08,1.843,0.4869,0.1324,0.7964,0.6017,0.9504,1
1.861,1.09,1.608,0.4697,0.1294,0.7869,0.6099,0.9197,1
2.362,1.09,1.601,0.579,0.1525,0.8282,0.6346,0.9121,1
1.303,1.1,1.657,0.4669,0.1298,0.788,0.6061,0.9571,1
1.599,1.22,1.684,0.4949,0.1424,0.8221,0.5772,0.916,1
1.72,1.22,1.353,0.4864,0.1392,0.8133,0.5864,0.9329,1
2.455,1.23,1.658,0.6118,0.1675,0.8626,0.6048,0.9026,1
2.513,1.23,1.695,0.5819,0.1623,0.8602,0.5854,0.903,1
1.811,1.12,1.634,0.4754,0.1316,0.7915,0.6121,0.9236,1
1.986,1.09,1.928,0.5831,0.1552,0.8337,0.6327,0.9111,1
1.736,1.1,2.016,0.4866,0.1357,0.8052,0.5907,0.9163,1
1.84,1.08,1.599,0.4719,0.1306,0.7901,0.6068,0.9241,1
2.431,1.22,1.705,0.5781,0.1601,0.8544,0.5921,0.9136,1
1.667,1.09,1.39,0.4697,0.1283,0.7826,0.6195,0.9155,1
1.694,1.22,2.482,0.5813,0.1618,0.8583,0.5891,0.9217,1
2.386,1.09,1.598,0.5531,0.1486,0.8256,0.6218,0.9222,1
1.829,1.1,1.6,0.4651,0.1286,0.785,0.6082,0.9244,1
2.542,1.09,1.659,0.6026,0.1607,0.8449,0.6242,0.8964,1
1.62,1.1,1.767,0.4802,0.1316,0.7946,0.5997,0.9154,1
1.624,1.09,2.203,0.531,0.1275,0.7542,0.7164,0.9473,1
4.312,1.22,1.809,1.897,0.2789,-0.3049,0.8628,0.9458,1
1.903,1.31,2.013,0.626,0.1708,0.8665,0.6065,0.8815,1
2.47,1.09,1.874,0.5699,0.155,0.8437,0.5973,0.9052,1
2.502,1.22,1.738,0.6104,0.1665,0.8612,0.6034,0.8994,1
1.577,1.1,1.777,0.4952,0.1356,0.8016,0.6108,0.9407,1
2.474,1.23,1.669,0.5993,0.1646,0.8596,0.5997,0.908,1
2.42,1.24,1.705,0.5994,0.1651,0.8605,0.6002,0.8956,1
1.531,1.31,1.803,0.5098,0.1433,0.8229,0.5866,0.8933,1
1.351,1.09,2.491,0.5241,0.1248,0.7476,0.7207,0.9432,1
1.787,1.21,1.329,0.4869,0.138,0.8119,0.5806,0.9564,1
1.68,1.22,2.105,0.6265,0.167,0.8529,0.6273,0.8957,1
1.787,1.09,1.979,0.4855,0.1337,0.7997,0.5975,0.9403,1
1.777,1.08,1.588,0.4665,0.1314,0.7927,0.5987,0.9209,1
2.46,1.22,1.726,0.5986,0.1643,0.8588,0.6013,0.9099,1
1.718,1.21,1.587,0.4952,0.1402,0.8163,0.5843,0.9396,1
1.783,1.09,1.598,0.4739,0.1309,0.79,0.6118,0.9488,1
2.259,1.09,1.801,0.5639,0.1498,0.8305,0.6109,0.9241,1
2.467,1.22,1.71,0.5792,0.1608,0.8553,0.5938,0.9126,1
1.915,1.09,1.147,0.4001,0.09975,0.6927,0.7015,0.9913,1
1.829,1.09,1.588,0.4726,0.1301,0.7876,0.6141,0.9446,1
1.741,1.22,1.728,0.4902,0.1395,0.8153,0.5797,0.9421,1
2.512,1.24,1.769,0.5986,0.1659,0.863,0.5969,0.8804,1
1.907,1.08,1.266,0.4697,0.1306,0.7907,0.6025,0.9326,1
2.239,1.09,1.756,0.5557,0.1458,0.8162,0.6363,0.9107,1
1.792,1.31,1.658,0.5121,0.1442,0.8258,0.5823,0.913,1
1.692,1.23,2.165,0.5772,0.1609,0.8575,0.5866,0.9047,1
2.269,1.24,1.665,0.6026,0.1638,0.854,0.6135,0.8937,1
2.013,1.08,1.508,0.4654,0.1307,0.7911,0.5989,0.9485,1
1.843,1.1,1.854,0.4844,0.1324,0.7965,0.6002,0.907,1
1.531,1.08,1.958,0.464,0.1281,0.7838,0.6086,0.9588,1
2.441,1.22,1.717,0.5793,0.1608,0.8554,0.5939,0.8962,1
1.774,1.09,1.614,0.4478,0.1211,0.7658,0.6163,0.9375,1
2.42,1.17,1.624,0.618,0.1654,0.8544,0.6161,0.8779,1
2.483,1.23,1.681,0.612,0.1668,0.8607,0.6063,0.8965,1
1.924,1.09,1.638,0.4619,0.1265,0.7796,0.6123,0.9515,1
1.854,1.08,1.583,0.4666,0.129,0.785,0.6124,0.9239,1
2.475,1.09,1.61,0.5856,0.1583,0.8435,0.6189,0.9007,1
2.448,1.09,1.588,0.5797,0.1555,0.8375,0.6228,0.9034,1
1.649,1.09,1.608,0.4785,0.1329,0.7949,0.61,0.9279,1
1.398,1.31,1.837,0.5111,0.1438,0.8244,0.5853,0.8852,1
2.383,1.23,1.695,0.6019,0.1654,0.8602,0.6023,0.9073,1
1.666,1.09,1.428,0.47,0.129,0.785,0.6151,0.9186,1
2.479,1.3,1.752,0.6201,0.1695,0.8654,0.6043,0.8956,1
2.506,1.22,1.725,0.5836,0.1622,0.8586,0.591,0.9072,1
1.774,1.09,1.736,0.4776,0.1324,0.7959,0.5994,0.9255,1
1.652,1.22,2.327,0.5884,0.1605,0.8528,0.5993,0.8999,1
1.561,1.09,1.607,0.4763,0.132,0.792,0.6138,0.9187,1
1.727,1.08,2.094,0.5665,0.1519,0.8298,0.6278,0.9205,1
2.128,1.09,1.64,0.5423,0.1471,0.825,0.6136,0.8809,1
2.515,1.22,1.612,0.6069,0.1656,0.8579,0.6105,0.886,1
2.509,1.22,1.657,0.6036,0.1664,0.8629,0.5988,0.9086,1
2.068,1.24,1.85,0.6031,0.165,0.8592,0.6025,0.8944,1
1.523,1.09,2.469,0.594,0.1577,0.8368,0.6349,0.9201,1
1.713,1.08,2.301,0.5803,0.1541,0.8319,0.6319,0.9193,1
1.579,1.09,2.462,0.5928,0.1571,0.837,0.6305,0.9005,1
2.265,1.12,1.613,0.5845,0.1565,0.8384,0.6251,0.8996,1
1.737,1.09,1.567,0.4652,0.1308,0.7913,0.5992,0.9145,1
1.697,1.07,1.602,0.4759,0.1301,0.7864,0.6218,0.9317,1
1.768,1.08,1.586,0.4665,0.1283,0.7847,0.6073,0.9369,1
1.935,1.09,1.376,0.4562,0.1275,0.7829,0.6016,0.9356,1
2.513,1.1,1.764,0.5611,0.1509,0.8339,0.6064,0.9117,1
2.503,1.23,1.703,0.5773,0.1611,0.8582,0.585,0.9038,1
2.416,1.22,1.754,0.6069,0.1666,0.8615,0.6045,0.8969,1
2.335,1.22,1.632,0.5993,0.1665,0.864,0.5973,0.909,1
1.668,1.1,1.778,0.4839,0.1323,0.7958,0.6022,0.9257,1
1.713,1.12,1.599,0.4703,0.1314,0.7912,0.6085,0.8775,1
1.711,1.24,1.397,0.5019,0.1445,0.8263,0.5798,0.9112,1
2.418,1.23,1.705,0.578,0.1615,0.8578,0.5902,0.9175,1
2.253,1.22,1.666,0.6063,0.1664,0.8609,0.6056,0.92,1
2.504,1.23,1.804,0.6205,0.1687,0.8634,0.6059,0.8858,1
1.692,1.22,2.232,0.5949,0.1614,0.8519,0.6071,0.9393,1
1.9,1.09,1.756,0.4829,0.1327,0.7961,0.6044,0.929,1
1.8,1.09,2.175,0.5918,0.1558,0.838,0.6197,0.9075,1
1.726,1.22,1.985,0.4974,0.1399,0.8149,0.5888,0.944,1
1.791,1.09,1.599,0.4673,0.1298,0.788,0.6063,0.9422,1
1.71,1.09,2.328,0.5234,0.1264,0.7529,0.7149,0.9445,1
2.533,1.22,1.751,0.6126,0.1676,0.8628,0.6043,0.8868,1
1.356,1.09,1.882,0.4803,0.1307,0.7921,0.6032,0.9362,1
1.859,1.08,1.585,0.4671,0.1291,0.7858,0.6101,0.913,1
1.462,1.09,1.62,0.4013,0.09936,0.6913,0.7048,0.9763,1
2.494,1.22,1.69,0.5995,0.1663,0.8638,0.5961,0.9035,1
1.616,1.09,1.898,0.4726,0.1311,0.7899,0.613,0.9267,1
1.675,1.11,2.173,0.5898,0.1609,0.8495,0.6141,0.8903,1
1.935,1.09,1.681,0.4767,0.1321,0.7956,0.5983,0.8841,1
1.822,1.08,1.604,0.466,0.1302,0.7902,0.599,0.9281,1
2.385,1.22,1.711,0.5977,0.165,0.8601,0.6015,0.9033,1
1.507,1.09,1.582,0.4527,0.1268,0.7816,0.5979,0.9157,1
1.55,1.23,1.736,0.4981,0.1417,0.82,0.5824,0.9312,1
1.835,1.31,1.399,0.5161,0.1456,0.8281,0.586,0.8886,1
2.332,1.22,1.614,0.6095,0.1653,0.8558,0.6143,0.8957,1
1.456,1.22,1.796,0.4969,0.1426,0.8222,0.58,0.9159,1
1.892,1.09,1.642,0.4635,0.1279,0.7835,0.6079,0.8986,0
1.889,1.08,1.597,0.4694,0.1288,0.7862,0.6074,0.9467,0
1.635,1.22,2.21,0.6039,0.1647,0.8579,0.6052,0.9209,0
1.774,1.09,1.611,0.4743,0.1308,0.7888,0.6163,0.8838,0
1.892,1.21,1.811,0.501,0.1402,0.8167,0.5843,0.9295,0
2.205,1.21,1.628,0.6107,0.1654,0.8568,0.6111,0.8891,0
2.474,1.09,1.952,0.5782,0.1556,0.8422,0.6059,0.9379,0
1.57,1.1,1.909,0.4699,0.1292,0.7856,0.6136,0.9217,0
1.645,1.22,2.159,0.5974,0.1653,0.8632,0.5919,0.8879,0
1.988,1.08,1.634,0.4817,0.1323,0.7961,0.6001,0.9112,0
1.392,1.08,1.929,0.4575,0.1251,0.7772,0.6075,0.961,0
1.808,1.1,1.587,0.464,0.1296,0.7871,0.6074,0.9053,0
2.378,1.22,1.707,0.6284,0.1707,0.8646,0.6112,0.8865,0
1.916,1.09,2.052,0.5738,0.1542,0.8398,0.6059,0.9229,0
2.476,1.1,1.405,0.5093,0.1241,0.7501,0.7106,0.9564,0
1.208,1.08,1.885,0.4699,0.1309,0.7911,0.604,0.9565,0
1.914,1.11,1.572,0.4712,0.1292,0.7854,0.6155,0.9205,0
2.423,1.22,1.655,0.6312,0.17,0.8616,0.6158,0.8916,0
1.804,1.22,1.736,0.5047,0.1431,0.8228,0.5845,0.9222,0
1.798,1.21,1.746,0.4879,0.1387,0.8138,0.5782,0.9314,0
1.762,1.22,2.324,0.6021,0.1649,0.8593,0.6021,0.9022,0
1.607,1.09,1.548,0.4752,0.1314,0.7906,0.6145,0.9178,0
2.402,1.09,1.459,0.5053,0.1224,0.7448,0.7158,0.9607,0
1.841,1.1,2.293,0.5993,0.1604,0.8444,0.6253,0.9014,0
1.584,1.12,1.964,0.4767,0.1316,0.7922,0.6096,0.9143,0
1.713,1.22,2.357,0.602,0.1657,0.8615,0.5998,0.9059,0
1.576,1.09,1.462,0.4637,0.1288,0.785,0.6088,0.9079,0
2.536,1.1,1.64,0.5996,0.1604,0.8452,0.6226,0.9,0
1.58,1.09,1.61,0.4663,0.1302,0.7887,0.6065,0.9241,0
2.534,1.1,1.243,0.5304,0.1281,0.7563,0.714,0.9378,0
1.663,1.22,2.323,0.6066,0.1663,0.862,0.6002,0.8813,0
2.453,1.22,1.67,0.6038,0.1659,0.8609,0.6027,0.8995,0
1.745,1.21,1.886,0.4928,0.1387,0.812,0.5904,0.9347,0
1.934,1.1,2.11,0.6,0.1613,0.8466,0.623,0.8873,0
1.531,1.21,1.722,0.4938,0.1394,0.8142,0.5857,0.9345,0
2.049,1.09,1.927,0.5767,0.1547,0.8403,0.6076,0.919,0
2.39,1.09,1.586,0.546,0.1468,0.8221,0.6227,0.8907,0
1.797,1.07,1.285,0.4684,0.129,0.7851,0.6136,0.9151,0
1.958,1.09,1.08,0.4023,0.1007,0.6957,0.6993,0.9911,0
1.572,1.09,1.671,0.4561,0.1242,0.775,0.6083,0.9199,0
1.915,1.21,1.697,0.4934,0.1394,0.8149,0.5821,0.9231,0
2.008,1.22,1.991,0.6116,0.1651,0.856,0.6116,0.8832,0
2.313,1.07,1.678,0.5601,0.1489,0.8264,0.621,0.9287,0
1.511,1.1,1.528,0.4016,0.09868,0.6884,0.7107,0.9735,0
1.89,1.08,1.383,0.4795,0.1322,0.7959,0.5986,0.9296,0
2.501,1.22,1.672,0.606,0.1655,0.8603,0.6011,0.9111,0
1.601,1.08,1.649,0.4782,0.131,0.7883,0.6217,0.9181,0
2.535,1.1,1.539,0.5788,0.1548,0.8349,0.6269,0.9053,0
1.384,1.1,1.655,0.4711,0.1303,0.7881,0.6129,0.9103,0
1.78,1.22,1.79,0.5001,0.1426,0.8223,0.5809,0.9228,0
1.643,1.09,2.506,0.5554,0.1479,0.8233,0.6254,0.9236,0
1.681,1.09,1.84,0.4894,0.1344,0.8011,0.5996,0.9382,0
1.898,1.09,1.431,0.4846,0.1316,0.7954,0.5984,0.9421,0
1.987,1.09,1.519,0.4529,0.1224,0.7689,0.6178,0.9546,0
2.424,1.22,1.684,0.576,0.16,0.8561,0.5848,0.9158,0
1.832,1.08,1.221,0.47,0.1286,0.7846,0.6135,0.9495,0
1.864,1.1,1.274,0.4011,0.1006,0.6954,0.6987,0.9771,0
1.591,1.08,1.638,0.462,0.1278,0.782,0.6124,0.9171,0
1.909,1.07,1.231,0.4658,0.1279,0.7825,0.6141,0.9307,0
1.672,1.08,1.581,0.4627,0.1283,0.7838,0.6097,0.9171,0
1.989,1.09,1.578,0.4568,0.1252,0.7756,0.6152,0.9301,0
2.061,1.22,1.776,0.5788,0.1617,0.8598,0.5827,0.9026,0
1.297,1.1,1.705,0.4736,0.1295,0.7859,0.6177,0.9363,0
2.24,1.22,1.673,0.5774,0.1611,0.8565,0.5918,0.9226,0
1.558,1.08,1.543,0.4598,0.1269,0.781,0.6073,0.941,0
2.394,1.22,1.756,0.6123,0.165,0.856,0.6106,0.8878,0
1.595,1.07,2.341,0.5656,0.1507,0.8287,0.6236,0.8947,0
1.905,1.09,1.96,0.5796,0.154,0.8317,0.6325,0.9267,0
2.417,1.21,1.715,0.5985,0.1635,0.8565,0.6039,0.9053,0
1.644,1.09,1.582,0.4645,0.1263,0.7787,0.616,0.9623,0
1.796,1.22,1.772,0.493,0.1396,0.814,0.589,0.9266,0
1.79,0.96,1.23,0.467,0.1257,0.7769,0.6209,0.9356,0
1.264,1.09,1.846,0.4828,0.1328,0.7968,0.6022,0.9406,0
1.553,1.09,1.556,0.4594,0.1266,0.7804,0.6079,0.9432,0
1.828,1.09,1.622,0.4761,0.1327,0.7945,0.6083,0.8993,0
2.518,1.22,1.775,0.6046,0.1652,0.8584,0.6066,0.9059,0
2.422,1.22,1.679,0.6218,0.1695,0.8657,0.6026,0.8875,0
1.971,1.09,1.815,0.4832,0.1325,0.7965,0.6011,0.9251,0
1.571,1.08,1.927,0.4695,0.1301,0.7886,0.6082,0.9313,0
1.697,1.31,1.839,0.5143,0.1454,0.8276,0.5856,0.8753,0
1.642,1.08,1.589,0.4728,0.1301,0.7877,0.6145,0.9303,0
1.668,1.22,2.497,0.6039,0.1658,0.8618,0.5986,0.9067,0
2.03,1.22,1.706,0.503,0.1413,0.8183,0.5882,0.9137,0
1.752,1.1,1.237,0.4683,0.1296,0.7873,0.6088,0.9179,0
1.375,1.08,1.915,0.4816,0.1334,0.7978,0.6024,0.9037,0
1.642,1.08,1.591,0.4627,0.1278,0.7831,0.6084,0.9364,0
1.612,1.12,2.365,0.5573,0.1509,0.83,0.6218,0.885,0
1.726,1.22,1.82,0.4854,0.1398,0.8173,0.5706,0.9084,0
0.8862,1.1,1.758,0.359,0.0903,0.6654,0.6882,0.989,0
1.246,1.08,1.296,0.3112,0.07868,0.6262,0.6683,0.9688,0
1.891,1.08,1.236,0.3651,0.07137,0.6176,0.7533,0.8762,0
1.481,0.91,0.6016,0.2454,0.05053,0.5281,0.698,0.867,0
0.5175,1.46,0.6106,0.1982,0.03344,0.4302,0.833,0.002052,3
0.542,1.58,0.6655,0.2306,0.03411,0.4465,0.8697,0.0001969,3
0.566,1.59,0.5353,0.2375,0.03308,0.451,0.8683,0.0001817,3
0.4299,1.59,0.528,0.2135,0.02921,0.4272,0.8693,0.0007846,3
0.4846,1.58,0.706,0.2053,0.03308,0.4351,0.837,0.005614,3
0.4219,1.45,0.6762,0.1753,0.03049,0.4077,0.8139,0.003963,3
0.5293,1.51,0.6984,0.2123,0.03887,0.4558,0.8142,0.004859,3
0.4616,1.49,0.484,0.186,0.02925,0.4089,0.8471,0.001119,3
0.5122,1.49,0.4914,0.1951,0.02744,0.4101,0.8652,0.006,3
0.4651,1.51,0.5599,0.1937,0.02936,0.4178,0.8431,0.005181,3
0.3971,1.51,0.597,0.2303,0.0311,0.4434,0.8682,0.001597,3
0.4678,1.5,0.6121,0.2338,0.03205,0.4444,0.8748,0.0002525,3
0.4599,1.5,0.7263,0.2447,0.03417,0.4582,0.8664,0.00136,3
0.4644,1.5,0.604,0.2201,0.03403,0.4406,0.863,0.0005671,3
0.4674,1.49,0.6399,0.1783,0.02813,0.401,0.8419,0.002439,3
0.507,1.39,0.5037,0.1864,0.0228,0.3975,0.8631,0.009011,3
0.5141,1.4,0.5672,0.1754,0.02546,0.399,0.8254,0.00808,3
0.4563,1.38,0.543,0.1606,0.02403,0.3812,0.8215,0.006159,3
0.5421,1.41,0.524,0.1623,0.02557,0.3893,0.8016,0.008366,3
0.5279,1.4,0.5362,0.1813,0.0236,0.4007,0.8362,0.007955,3
0.4416,1.4,0.5023,0.1775,0.02312,0.3895,0.86,0.01038,3
0.5599,1.41,0.4387,0.1931,0.02644,0.4082,0.862,0.008527,3
0.4047,1.4,0.5118,0.1609,0.02434,0.3755,0.8488,0.006113,3
0.4707,1.39,0.5631,0.1586,0.02761,0.3837,0.8188,0.003515,3
0.415,1.41,0.5544,0.1718,0.02791,0.3947,0.8388,0.002322,3
0.5409,1.4,0.4929,0.1651,0.02549,0.3813,0.8503,0.001627,3
0.5023,1.41,0.4765,0.1791,0.02554,0.392,0.8662,0.001347,3
0.5469,1.41,0.4275,0.1821,0.02718,0.402,0.8488,0.003767,3
0.4522,1.42,0.5705,0.1965,0.02597,0.4086,0.8689,0.01064,3
0.5191,1.42,0.4841,0.1864,0.02681,0.4079,0.8423,0.02158,3
0.6194,1.42,0.4059,0.1909,0.02619,0.4111,0.8443,0.02081,3
0.588,1.43,0.5839,0.1806,0.02624,0.4017,0.8403,0.02458,3
0.4735,1.41,0.4845,0.1802,0.02477,0.3947,0.8579,0.01331,3
0.5346,1.44,0.5845,0.1878,0.02508,0.4038,0.8546,0.0182,3
0.5439,1.44,0.5692,0.186,0.02773,0.4075,0.8458,0.01492,3
0.5808,1.44,0.5477,0.1949,0.02756,0.415,0.8495,0.01358,3
0.5636,1.42,0.4801,0.1835,0.03024,0.4136,0.8249,0.003758,3
0.6131,1.43,0.4077,0.1837,0.02874,0.4116,0.8265,0.00488,3
0.6244,1.43,0.581,0.2019,0.03253,0.4302,0.8408,0.008953,3
0.5833,1.23,0.4759,0.1534,0.02925,0.3869,0.781,0.01617,3
0.5173,1.43,0.537,0.1767,0.03212,0.4111,0.8153,0.03094,3
0.6271,1.45,0.5331,0.2108,0.03703,0.4474,0.8298,0.03522,3
0.5886,1.43,0.5193,0.1825,0.03231,0.4159,0.8222,0.02312,3
0.5502,1.43,0.5229,0.1809,0.0318,0.4161,0.8112,0.02853,3
0.4666,1.43,0.5651,0.1835,0.03164,0.414,0.8302,0.01778,3
0.4136,1.44,0.5952,0.1844,0.02989,0.4093,0.8431,0.01751,3
0.3918,1.44,0.6292,0.1943,0.03064,0.4187,0.8475,0.01828,3
0.438,1.44,0.5863,0.1853,0.02709,0.4044,0.8512,0.0188,3
0.4089,1.44,0.5936,0.1943,0.02883,0.4141,0.8553,0.01562,3
0.4103,1.44,0.6394,0.1932,0.02821,0.4124,0.8552,0.01794,3
0.396,1.44,0.5829,0.1908,0.02775,0.4091,0.8564,0.01841,3
0.3929,1.43,0.6114,0.1858,0.03083,0.4136,0.8366,0.01779,3
0.4648,1.43,0.5589,0.173,0.03018,0.4039,0.8178,0.02629,3
0.5859,1.43,0.4284,0.192,0.03249,0.4224,0.835,0.01846,3
0.5731,1.43,0.4755,0.1822,0.03032,0.4113,0.8288,0.02923,3
0.6183,1.43,0.5226,0.1861,0.03052,0.415,0.831,0.03239,3
0.5148,1.43,0.8237,0.198,0.03248,0.4312,0.8244,0.04484,3
0.5874,1.43,0.6076,0.1935,0.03166,0.4268,0.8206,0.04323,3
0.5251,1.43,0.6915,0.1934,0.03048,0.4246,0.8229,0.04282,3
0.4471,1.44,0.7445,0.207,0.03081,0.4354,0.8323,0.06063,3
0.3966,1.44,0.8689,0.2132,0.03207,0.4443,0.8265,0.07033,3
0.4704,1.43,0.7423,0.1929,0.0314,0.4267,0.8167,0.05305,3
0.5977,1.44,0.7117,0.2144,0.03418,0.4458,0.8336,0.05423,3
0.4805,1.43,0.6769,0.2025,0.03029,0.4254,0.8495,0.03789,3
0.7326,1.43,0.3339,0.2034,0.02772,0.422,0.8537,0.03488,3
0.5825,1.43,0.4258,0.1969,0.02628,0.412,0.8607,0.02962,3
0.5723,1.43,0.4194,0.2029,0.02395,0.4079,0.8817,0.02247,3
0.5987,1.43,0.3574,0.1982,0.0242,0.4081,0.8699,0.01953,3
0.5308,1.58,0.5085,0.1969,0.02688,0.409,0.8719,0.0149,3
0.4572,1.59,0.5469,0.1905,0.02898,0.4105,0.8556,0.01087,3
0.5317,1.6,0.5134,0.2423,0.03231,0.4459,0.8864,0.0005246,3
0.5716,1.61,0.4809,0.2391,0.03215,0.4497,0.8718,0.0007637,3
0.6317,1.6,0.5464,0.2187,0.03192,0.4481,0.8297,0.0004883,3
0.5212,1.59,0.6555,0.1934,0.02986,0.4297,0.7999,0.002454,3
0.7232,1.58,0.4602,0.2324,0.0437,0.4793,0.8149,0.009663,3
0.7006,1.58,0.5606,0.2723,0.04733,0.5046,0.8375,0.01354,3
1.22,1.55,0.4846,0.3669,0.05582,0.5748,0.8093,0.06627,3
1.089,1.54,0.4597,0.3337,0.05059,0.5488,0.8215,0.03954,3
1.047,1.54,0.5137,0.3015,0.04672,0.5321,0.8104,0.01327,3
0.866,1.54,0.4536,0.2588,0.03412,0.4685,0.865,0.01166,3
0.5475,1.66,0.6137,0.2993,0.03623,0.4787,0.895,0.002227,3
0.6525,1.66,0.5379,0.3141,0.04381,0.5028,0.8792,0.003425,3
0.897,1.66,0.7358,0.312,0.05821,0.5507,0.8153,0.02129,3
0.8577,1.66,0.8885,0.3342,0.06532,0.5834,0.7853,0.03625,3
0.925,1.48,1.101,0.3268,0.06659,0.5904,0.7608,0.1328,3
0.4725,1.62,0.5306,0.2423,0.02895,0.4346,0.903,0.005514,3
0.7051,1.63,0.6447,0.2606,0.0355,0.4734,0.8599,0.01252,3
0.5599,1.62,0.4705,0.2179,0.02836,0.4256,0.8808,0.007596,3
0.6942,1.59,0.4665,0.2338,0.04124,0.4703,0.8357,9.59E-05,3
0.7716,1.59,0.5604,0.2717,0.04877,0.5133,0.8187,0.0003814,3
0.7707,1.59,0.6171,0.2511,0.0455,0.4941,0.8205,0.002024,3
0.6036,1.57,0.3143,0.182,0.01643,0.3826,0.8782,0.0003112,3
0.5282,1.57,0.3787,0.2487,0.02495,0.4302,0.912,0.002235,3
0.7322,1.56,0.4868,0.2609,0.03535,0.4718,0.8636,0.003428,3
0.7364,1.57,0.5451,0.2432,0.03602,0.466,0.8492,0.009879,3
0.502,1.56,0.375,0.2306,0.02628,0.4204,0.9099,0.003898,3
0.7017,1.53,0.5997,0.2417,0.04173,0.4748,0.8418,0.00818,3
0.7384,1.53,0.5978,0.2463,0.04615,0.495,0.8097,0.0009832,3
0.656,1.52,0.5782,0.2273,0.04211,0.4705,0.8231,0.002417,3
0.4689,1.51,0.4707,0.1973,0.02399,0.4022,0.8835,0.001683,3
0.4393,1.5,0.3951,0.213,0.02669,0.414,0.8952,0.004437,3
0.7705,1.5,0.5578,0.2502,0.03942,0.483,0.8281,0.002861,3
0.6926,1.5,0.5144,0.2557,0.03993,0.485,0.8353,0.002058,3
0.5569,1.65,0.4648,0.2532,0.034,0.4528,0.8913,0.002295,3
0.4675,1.63,0.5212,0.253,0.0298,0.4383,0.9108,0.004445,3
0.675,1.63,0.5774,0.2561,0.04582,0.494,0.8323,0.0004137,3
0.7942,1.62,0.7151,0.2441,0.05243,0.5158,0.7631,0.002463,3
0.6991,1.61,0.6086,0.2421,0.04647,0.4932,0.8069,0.003684,3
0.4883,1.61,0.5225,0.2325,0.03002,0.433,0.8941,0.0009555,3
0.4786,1.6,0.5076,0.2587,0.03407,0.4548,0.8943,0.0001945,3
0.7215,1.59,0.5092,0.2313,0.03843,0.4628,0.8411,0.001705,3
0.8238,1.58,0.5386,0.2179,0.03743,0.4609,0.8068,0.002398,3
0.6496,1.49,0.4783,0.2208,0.03373,0.4424,0.8585,0.003097,3
0.459,1.48,0.536,0.1851,0.02751,0.4003,0.8662,0.0008516,3
0.572,1.49,0.4782,0.2099,0.03848,0.4494,0.8273,0.0007353,3
0.6708,1.32,0.5648,0.1985,0.04048,0.4542,0.7771,0.0003018,3
0.7308,1.48,0.5508,0.2283,0.04556,0.4877,0.782,0.003657,3
0.5047,1.61,0.7518,0.2268,0.03799,0.4589,0.8403,0.008645,3
0.4652,1.59,0.4159,0.2204,0.02611,0.4172,0.9001,0.004205,3
0.7613,1.58,0.5139,0.2255,0.03697,0.4605,0.8282,0.005757,3
0.8488,1.47,0.7946,0.2109,0.04301,0.4741,0.7578,0.009601,3
0.6734,1.61,0.8596,0.2297,0.04242,0.4727,0.8235,0.006849,3
0.332,1.58,0.4425,0.22,0.02557,0.4095,0.9151,0.000147,3
0.5512,1.58,0.5509,0.2481,0.03838,0.4654,0.8669,0.000764,3
