 Height, Width, Verticality, Class
1.09,1.663,0.9238,0
1.1,1.643,0.9486,0
1.1,1.591,0.8994,0
1.08,2.297,0.9146,0
1.22,1.67,0.8939,0
1.09,1.589,0.9019,0
1.09,1.607,0.9093,0
1.22,1.656,0.9039,0
1.12,1.604,0.9045,0
1.08,1.587,0.9055,0
1.08,1.582,0.8927,0
1.12,1.627,0.8994,0
1.09,1.792,0.9474,0
1.21,2.083,0.9461,0
1.08,1.574,0.9075,0
1.09,1.643,0.9265,0
1.22,1.856,0.9166,0
1.09,1.93,0.9208,0
1.09,1.561,0.91,0
1.22,1.65,0.9202,0
1.21,2.372,0.92,0
1.21,1.729,0.9263,0
1.22,2.505,0.915,0
1.09,1.689,0.8843,0
1.1,1.584,0.917,0
1.08,1.997,0.9173,0
1.08,1.593,0.9258,0
1.1,2.527,0.9127,0
1.09,1.922,0.9238,0
1.22,1.839,0.9266,0
1.08,1.56,0.9215,0
1.1,1.609,0.9289,0
1.22,1.674,0.8943,0
1.08,1.586,0.9114,0
1.09,1.193,0.918,0
1.08,1.661,0.9357,0
1.22,2.026,0.9538,0
1.08,1.58,0.9441,0
1.21,1.902,0.9417,0
1.22,1.71,0.9304,0
1.09,1.661,0.928,0
1.22,1.609,0.9299,0
1.08,1.717,0.8941,0
1.22,1.865,0.9056,0
1.08,1.63,0.8877,0
1.22,1.643,0.9061,0
1.1,1.582,0.9315,0
1.08,1.7,0.9335,0
1.08,1.531,0.917,0
1.08,2.023,0.9098,0
1.21,1.758,0.9534,0
1.08,1.568,0.9041,0
1.21,1.714,0.9164,0
1.09,1.886,0.9172,0
1.08,1.47,0.9085,0
1.08,1.575,0.8998,0
1.08,2.45,0.9054,0
1.22,1.93,0.9009,0
1.09,2.249,0.8883,0
1.08,1.576,0.9082,0
1.09,1.791,0.9307,0
1.09,1.91,0.9136,0
1.23,2.421,0.9016,0
1.09,1.79,0.9272,0
1.1,1.576,0.922,0
1.21,1.671,0.8992,0
1.1,1.626,0.9076,0
1.22,1.736,0.9132,0
1.1,1.663,0.9221,0
1.09,1.809,0.9116,0
1.09,1.747,0.9418,0
1.1,1.567,0.9129,0
1.09,2.506,0.9026,0
1.09,1.289,0.9512,0
1.08,1.574,0.9002,0
1.08,1.621,0.91,0
1.09,1.907,0.9338,0
1.23,1.702,0.9308,0
1.22,1.677,0.9234,0
1.22,1.773,0.9549,0
1.24,1.624,0.895,0
1.09,1.65,0.9108,0
1.1,1.609,0.9315,0
1.09,1.681,0.9018,0
1.09,1.598,0.9227,0
1.08,1.677,0.9385,0
1.09,1.84,0.9019,0
1.21,1.714,0.9436,0
1.08,1.592,0.9381,0
1.22,1.862,0.9063,0
1.08,1.618,0.9255,0
1.22,2.472,0.9312,0
1.09,1.788,0.9376,0
1.09,1.918,0.9317,0
1.1,1.583,0.939,0
1.09,1.828,0.891,0
1.22,1.687,0.9367,0
1.08,1.645,0.9049,0
1.09,1.862,0.9296,0
1.09,1.634,0.9025,0
1.21,2.362,0.92,0
1.12,1.512,0.8963,0
1.1,1.723,0.9593,0
1.1,1.819,0.9232,0
1.1,1.575,0.9169,0
1.09,1.707,0.9072,0
1.09,1.613,0.9107,0
1.09,1.936,0.9153,0
1.23,2.314,0.9068,0
1.09,1.971,0.9262,0
1.23,1.684,0.8934,0
1.22,1.724,0.9313,0
1.23,1.697,0.9025,0
1.08,1.589,0.9499,0
1.22,1.713,0.9181,0
1.08,1.598,0.927,0
1.08,1.305,0.9508,0
1.22,1.815,0.9328,0
1.23,1.951,0.9014,0
1.09,1.705,0.9159,0
1.1,1.618,0.9254,0
1.1,1.599,0.9239,0
1.1,1.579,0.905,0
1.08,1.612,0.9528,0
1.09,1.65,0.9094,0
1.31,1.765,0.8965,0
1.22,2.175,0.9238,0
1.08,1.939,0.9316,0
1.22,2.48,0.9468,0
1.1,1.604,0.9357,0
1.18,1.805,0.8859,0
1.1,1.589,0.8836,0
1.22,1.705,0.8844,0
1.22,1.656,0.9043,0
1.22,1.703,0.9413,0
1.09,1.87,0.9392,0
1.09,1.884,0.9069,0
1.23,1.698,0.8918,0
1.09,1.587,0.904,0
1.21,1.819,0.9266,0
1.22,1.692,0.9247,0
1.09,1.825,0.9159,0
1.09,1.82,0.9164,0
1.22,1.596,0.9338,0
1.08,1.897,0.9638,0
1.1,1.313,0.9226,0
1.22,2.072,0.8929,0
1.08,1.592,0.9387,0
1.09,1.663,0.9211,0
1.23,1.656,0.8997,0
1.22,2.497,0.9172,0
1.1,1.634,0.9204,0
1.08,1.577,0.9406,0
1.09,2.001,0.9106,0
1.1,1.566,0.9565,0
1.08,1.501,0.9128,0
1.23,1.597,0.9136,0
1.22,1.653,0.9282,0
1.09,1.507,0.9073,0
1.09,1.883,0.939,0
1.1,2.496,0.8869,0
1.09,1.769,0.9421,0
1.09,1.598,0.91,0
1.12,1.585,0.8942,0
1.08,1.61,0.9139,0
1.23,1.652,0.8836,0
1.12,1.225,0.8951,0
1.09,1.64,0.9099,0
1.1,2.443,0.9011,0
1.09,1.607,0.9033,0
1.09,1.596,0.9163,0
1.09,1.615,0.9021,0
1.22,1.621,0.9223,0
1.22,1.79,0.9153,0
1.09,1.856,0.9428,0
1.23,1.754,0.9255,0
1.21,1.628,0.9235,0
1.21,1.598,0.9234,0
1.09,1.568,0.9475,0
1.23,1.75,0.9348,0
1.09,1.773,0.974,0
1.09,1.563,0.9043,0
1.09,1.626,0.9027,0
1.21,1.678,0.9179,0
1.09,1.847,0.9391,0
1.22,1.695,0.8934,0
1.22,1.729,0.9156,0
1.1,2.483,0.8924,0
1.08,2.457,0.9195,0
1.08,2.54,0.9362,0
1.46,0.7513,0.0363,2
1.46,0.7123,0.02314,2
1.48,0.7481,0.003995,2
1.43,0.7376,0.02463,2
1.5,0.8076,0.08855,2
1.51,0.7521,0.03066,2
1.52,0.7093,0.06146,2
1.52,0.7695,0.01368,2
1.45,0.7698,0.1258,2
1.49,0.7331,0.121,2
1.58,0.8049,0.09581,2
1.56,0.7798,0.056,2
1.56,0.8471,0.0724,2
1.61,0.8304,0.05267,2
1.63,0.8874,0.05633,2
1.62,0.9033,0.1014,2
1.64,0.9171,0.006963,2
1.63,0.9474,0.006974,2
1.52,0.9153,0.04063,2
1.66,0.9102,0.02797,2
1.55,0.93,0.0397,2
1.55,0.9605,0.02935,2
1.56,0.9298,0.003271,2
1.55,0.9478,0.03227,2
1.58,0.9491,0.01017,2
1.59,0.8605,0.04006,2
1.6,0.9424,0.06511,2
1.61,0.9248,0.03089,2
1.52,0.9683,0.00962,2
1.53,0.9324,0.06078,2
1.54,0.8278,0.02651,2
1.56,0.9042,0.06073,2
1.6,0.8572,0.04993,2
1.62,0.8667,0.112,2
1.53,0.801,0.0642,2
1.55,0.885,0.0929,2
1.56,0.8829,0.09116,2
1.6,0.8746,0.06302,2
1.61,0.7218,0.06946,2
1.55,0.6947,0.04982,2
1.57,0.6749,0.06604,2
1.57,0.6812,0.0699,2
1.57,0.6957,0.03846,2
1.57,0.6726,0.08268,2
1.56,0.7273,0.04922,2
1.58,0.7695,0.0462,2
1.49,0.7548,0.03358,2
1.58,0.7249,0.03123,2
1.53,0.9742,0.09617,2
1.7,0.9764,0.07312,2
1.79,1.334,0.04229,2
1.8,1.44,0.008419,2
1.82,1.348,0.01447,2
1.82,1.257,0.02176,2
1.77,1.446,0.01729,2
1.77,1.506,0.02255,2
1.79,1.579,0.02067,2
1.86,1.566,0.02106,2
1.87,1.401,0.03694,2
1.95,1.307,0.008794,2
1.95,1.397,0.007499,2
1.96,1.457,0.02145,2
1.9,1.362,0.02638,2
1.87,1.275,0.04751,2
1.81,1.309,0.06334,2
1.84,1.267,0.02082,2
1.83,1.129,0.0255,2
1.85,1.368,0.01812,2
1.88,1.356,0.006414,2
1.9,1.107,0.1313,2
1.92,1.349,0.2484,2
1.87,1.307,0.07879,2
1.88,1.364,0.07208,2
1.78,1.301,0.0435,2
1.78,1.204,0.09795,2
1.78,1.37,0.1028,2
1.78,1.217,0.1105,2
1.7,1.279,0.1005,2
1.76,1.482,0.1176,2
1.79,1.105,0.1067,2
1.8,1.108,0.09576,2
1.81,1.371,0.09128,2
1.72,1.12,0.08895,2
1.71,1.078,0.1124,2
1.59,1.039,0.08819,2
1.71,1.143,0.09499,2
1.67,1.368,0.08994,2
1.81,1.394,0.06279,2
1.81,1.271,0.06234,2
1.71,1.299,0.03529,2
1.7,1.416,0.04311,2
1.71,1.135,0.05723,2
1.75,1.251,0.02961,2
1.75,0.9097,0.03679,2
1.74,0.8526,0.02654,2
1.64,0.9216,0.0608,2
1.63,0.912,0.01989,2
1.63,1.019,0.009613,2
1.62,1.036,0.04416,2
1.6,1.47,0.009374,2
1.6,1.071,0.03209,2
1.59,0.8605,0.01089,2
1.51,0.808,0.01141,2
1.55,0.8472,0.01345,2
1.52,0.9822,0.005417,2
1.58,0.7636,0.01933,2
1.56,0.8039,0.0006498,2
1.55,0.8607,0.003845,2
1.55,0.8242,0.02096,2
1.58,1.079,0.05609,2
1.58,1.204,0.1063,2
1.56,1.184,0.03306,2
1.55,1.259,0.108,2
1.53,1.294,0.1341,2
1.56,1.338,0.1585,2
1.56,1.298,0.1693,2
1.56,1.278,0.06044,2
1.55,1.33,0.03207,2
1.6,1.357,0.2178,2
1.59,1.325,0.09208,2
1.58,1.16,0.1917,2
1.54,1.186,0.225,2
1.54,1.203,0.2547,2
1.54,1.108,0.08744,2
1.54,1.055,0.02641,2
1.52,1.092,0.08834,2
1.44,1.182,0.2034,2
1.45,1.117,0.3009,2
1.47,0.8668,0.2339,2
1.63,0.9627,0.1782,2
1.42,0.9508,0.2919,2
1.34,0.8747,0.2446,2
1.46,1.094,0.1234,2
1.41,0.773,0.2451,2
1.12,1.378,0.6337,0
1.12,1.688,0.9253,0
1.28,1.832,0.8903,0
1.28,1.571,0.8394,0
1.28,1.656,0.9257,0
1.15,1.642,0.8847,0
1.3,1.621,0.8147,0
1.29,1.629,0.8803,0
1.14,2.138,0.9131,0
1.29,1.621,0.8465,0
1.29,2.064,0.8687,0
1.14,2.142,0.9119,0
1.28,1.763,0.8711,0
1.3,1.584,0.8168,0
1.29,1.802,0.9064,0
1.29,2.021,0.8632,0
1.29,1.713,0.8186,0
1.15,1.479,0.9132,0
1.3,2.045,0.8348,0
1.29,2.071,0.872,0
1.3,1.651,0.8184,0
1.28,1.462,0.8423,0
1.28,1.775,0.8509,0
1.14,2.01,0.9257,0
1.28,1.692,0.8463,0
1.28,1.698,0.8453,0
1.28,1.715,0.8635,0
1.28,1.504,0.8157,0
1.14,1.989,0.8804,0
1.29,1.599,0.8137,0
1.14,1.826,0.8853,0
1.3,1.88,0.8081,0
1.3,1.603,0.8025,0
1.3,1.905,0.8156,0
1.28,1.637,0.8133,0
1.29,1.881,0.8796,0
1.3,1.497,0.8524,0
1.3,2.052,0.8303,0
1.3,1.848,0.8498,0
1.29,1.535,0.8648,0
1.29,1.864,0.8677,0
1.29,1.87,0.8846,0
1.29,1.544,0.8494,0
1.28,1.535,0.8419,0
1.29,1.755,0.8976,0
1.28,1.71,0.8465,0
1.29,1.879,0.8766,0
1.27,1.665,0.8477,0
1.29,2.215,0.8347,0
1.3,1.626,0.8064,0
1.28,1.569,0.8639,0
1.29,1.925,0.8056,0
1.29,1.953,0.81,0
1.29,1.953,0.8678,0
1.29,1.598,0.8669,0
1.15,2.093,0.917,0
1.29,1.887,0.8799,0
1.29,1.599,0.8557,0
1.28,1.685,0.8508,0
1.14,1.586,0.9131,0
1.29,1.541,0.8683,0
1.29,1.737,0.8526,0
1.12,1.453,0.9404,0
1.27,1.615,0.8673,0
1.29,1.559,0.8622,0
1.3,1.499,0.818,0
1.29,1.701,0.8468,0
1.3,1.899,0.8406,0
1.29,1.463,0.8829,0
1.29,1.554,0.819,0
1.28,1.694,0.8385,0
1.28,1.531,0.8288,0
1.27,2.099,0.9385,0
1.29,1.379,0.8243,0
1.14,1.585,0.9294,0
1.14,2.044,0.9128,0
1.29,1.56,0.8274,0
1.27,1.505,0.8659,0
1.27,1.906,0.868,0
1.29,1.88,0.8627,0
1.28,1.639,0.8714,0
1.3,1.682,0.8465,0
1.27,2.094,0.8646,0
1.28,1.763,0.8988,0
1.29,1.675,0.8554,0
1.28,1.639,0.8227,0
1.14,1.616,0.8839,0
1.27,1.696,0.8484,0
1.14,2.081,0.9013,0
1.14,1.681,0.9468,0
1.3,1.951,0.8274,0
1.28,1.892,0.8849,0
1.27,1.646,0.9186,0
1.29,1.643,0.804,0
1.28,2.061,0.8674,0
1.29,2.072,0.8623,0
1.28,1.557,0.8877,0
1.3,1.569,0.8827,0
1.3,2.059,0.8483,0
1.3,1.669,0.8196,0
1.3,1.938,0.8548,0
1.27,1.705,0.9048,0
1.29,1.741,0.9104,0
1.29,1.762,0.85,0
1.28,1.706,0.8444,0
1.28,2.068,0.8381,0
1.29,1.683,0.8178,0
1.3,1.707,0.807,0
1.29,1.59,0.818,0
1.29,1.777,0.8863,0
1.14,1.653,0.9025,0
1.14,1.56,0.911,0
1.3,1.607,0.819,0
1.28,1.551,0.8728,0
1.28,1.682,0.8306,0
1.28,1.523,0.8861,0
1.3,1.579,0.8397,0
1.28,2.047,0.8506,0
1.29,1.757,0.866,0
1.28,2.059,0.857,0
1.29,1.444,0.8358,0
1.29,1.635,0.7998,0
1.29,2.046,0.838,0
1.27,1.561,0.9062,0
1.28,1.738,0.8347,0
1.3,1.887,0.8149,0
1.29,1.811,0.8045,0
1.29,1.597,0.8042,0
1.3,1.924,0.8471,0
1.28,1.67,0.8677,0
1.28,1.838,0.8653,0
1.28,1.793,0.889,0
1.29,1.657,0.8851,0
1.28,1.962,0.8545,0
1.29,1.907,0.8148,0
1.27,2.051,0.9067,0
1.3,1.853,0.8329,0
1.28,2.105,0.8345,0
1.28,1.796,0.8552,0
1.32,1.672,0.963,0
1.28,1.968,0.887,0
1.28,1.898,0.8564,0
1.14,1.687,0.8878,0
1.29,2.04,0.8787,0
1.29,1.705,0.8667,0
1.28,1.578,0.9144,0
1.3,2.059,0.8361,0
1.3,2.052,0.8526,0
1.28,1.501,0.9319,0
1.28,1.744,0.861,0
1.29,1.699,0.8493,0
1.14,2.035,0.9203,0
1.12,1.765,0.9018,0
1.3,1.834,0.8681,0
1.28,1.67,0.8507,0
1.28,1.699,0.8787,0
1.28,1.74,0.8784,0
1.3,1.634,0.8097,0
1.27,1.614,0.9203,0
1.29,1.928,0.8044,0
1.28,1.82,0.8838,0
1.29,1.58,0.8525,0
1.3,1.631,0.8542,0
1.29,1.648,0.9558,0
1.28,1.575,0.8696,0
1.29,1.623,0.8705,0
1.14,1.603,0.906,0
1.28,1.901,0.8832,0
1.29,1.699,0.8203,0
1.29,2.316,0.9116,0
1.28,1.493,0.8532,0
1.29,1.694,0.8464,0
1.27,1.513,0.8826,0
1.14,1.648,0.9028,0
1.14,1.491,0.9063,0
1.29,2.07,0.8757,0
1.29,1.621,0.8475,0
1.14,2.102,0.8922,0
1.28,1.572,0.8874,0
1.3,1.898,0.8028,0
1.28,1.999,0.8339,0
1.28,1.691,0.8306,0
1.29,1.623,0.8789,0
1.29,1.844,0.8189,0
1.27,1.632,0.8966,0
1.14,1.634,0.9167,0
1.3,1.912,0.8145,0
1.14,2.109,0.8827,0
1.28,1.559,0.8621,0
1.3,1.689,0.8478,0
1.28,1.565,0.849,0
1.27,1.679,0.8734,0
1.3,1.6,0.8094,0
1.29,1.824,0.8409,0
1.29,1.95,0.8588,0
1.29,1.738,0.8516,0
1.29,1.539,0.8897,0
1.28,1.753,0.8586,0
1.28,1.557,0.8526,0
1.28,1.489,0.8791,0
1.3,1.588,0.8269,0
1.29,2.049,0.8371,0
1.27,1.789,0.8657,0
1.27,1.806,0.8637,0
1.3,1.903,0.8079,0
1.27,1.676,0.7734,0
1.84,1.239,0.2793,3
1.85,1.433,0.2654,3
1.86,1.528,0.3279,3
1.86,1.56,0.06695,3
1.86,1.322,0.01015,3
1.86,1.236,0.03338,3
1.86,1.274,0.07356,3
1.8,1.338,0.06506,3
1.8,1.309,0.02442,3
1.79,1.397,0.01637,3
1.88,1.127,0.05106,3
1.88,1.181,0.1459,3
1.87,1.514,0.1219,3
1.81,1.351,0.01643,3
1.81,1.452,0.009409,3
1.82,1.328,0.01778,3
1.82,1.286,0.03223,3
1.83,1.358,0.1046,3
1.83,1.388,0.109,3
1.83,1.427,0.02198,3
1.83,1.547,0.01212,3
1.84,1.453,0.005386,3
1.84,1.245,0.1157,3
1.81,1.539,0.09542,3
1.85,1.355,0.06102,3
1.73,1.322,0.04198,3
1.76,1.37,0.01248,3
1.82,1.002,0.2206,3
1.82,1.344,0.4493,3
1.83,1.727,0.3291,3
1.74,1.421,0.4549,3
1.72,1.43,0.638,3
1.73,1.376,0.3704,3
1.85,1.101,0.9213,3
1.83,1.568,0.6093,3
1.85,1.571,0.6271,3
1.74,1.515,0.7338,3
1.74,0.6404,0.007366,3
1.75,0.5978,0.006898,3
1.85,0.5209,0.005579,3
1.86,0.6403,0.002798,3
1.87,0.6729,0.004903,3
1.77,0.7107,0.004821,3
1.8,0.7496,0.006308,3
1.79,0.7034,0.003577,3
1.88,0.4421,0.001814,3
1.89,0.6385,0.002801,3
1.8,0.5459,0.005484,3
1.8,0.5266,0.006751,3
1.8,0.6353,0.007304,3
1.8,0.5889,0.008848,3
1.9,0.5807,0.004812,3
1.9,0.6621,0.003366,3
1.81,0.7034,0.004321,3
1.8,0.5175,0.003508,3
1.8,0.5886,0.003858,3
1.8,0.6564,0.002945,3
1.8,0.4374,0.0004607,3
1.8,0.4808,0.0005515,3
1.8,0.4568,0.0007264,3
1.8,0.4651,0.008502,3
1.8,0.5164,0.005928,3
1.8,0.6206,0.004777,3
1.8,0.6376,0.5293,3
1.78,1.631,0.4718,3
1.79,1.62,0.3097,3
1.78,1.406,0.03354,3
1.77,1.353,0.1818,3
1.77,1.233,0.2246,3
1.77,1.205,0.1207,3
1.78,1.358,0.05804,3
1.78,1.455,0.003081,3
1.78,1.154,0.03578,3
1.78,1.232,0.101,3
1.83,1.392,0.1589,3
1.83,1.36,0.1172,3
1.82,1.281,0.03225,3
1.81,1.136,0.008741,3
1.83,1.281,0.05302,3
1.83,1.304,0.09756,3
1.83,1.333,0.1621,3
1.83,1.362,0.01155,3
1.83,1.336,0.0184,3
1.83,1.34,0.2018,3
1.83,1.191,0.4886,3
1.74,0.716,0.006398,3
1.72,0.4662,0.004816,3
1.74,0.4371,0.005656,3
1.74,0.4568,0.006322,3
1.76,0.4476,0.004458,3
1.75,0.475,0.007091,3
1.74,0.4354,0.00351,3
1.75,0.4081,0.001137,3
1.75,0.4442,0.0001686,3
1.77,0.5118,0.003657,3
1.76,0.5684,0.002113,3
1.82,1.722,0.6319,3
1.77,0.7313,0.006425,3
1.77,0.5447,0.004507,3
1.76,0.4644,0.004538,3
1.76,0.4917,0.003671,3
1.76,0.4986,0.004556,3
1.76,0.4892,0.008665,3
1.76,0.5091,0.008117,3
1.85,0.4563,0.002861,3
1.93,1.326,0.2696,3
1.81,1.56,0.4958,3
1.81,1.528,0.3634,3
1.81,1.547,0.3779,3
1.91,0.8487,0.3855,3
1.82,0.4769,0.002912,3
1.9,1.283,0.3018,3
1.73,0.7402,0.005831,3
1.72,0.7658,0.006471,3
1.73,0.8413,0.008233,3
1.72,0.6648,0.005768,3
1.86,0.5758,0.0037,3
1.85,0.4327,0.002959,3
1.86,1.309,0.493,3
1.75,1.724,0.5092,3
1.74,0.816,0.4311,3
1.87,0.7123,0.007328,3
1.86,0.5637,0.002851,3
1.85,0.5889,0.001276,3
1.85,1.264,0.08536,3
1.73,1.492,0.1111,3
1.73,1.368,0.0149,3
1.85,1.31,0.006708,3
1.85,1.171,0.007386,3
1.85,1.18,0.01748,3
1.84,1.451,0.03311,3
1.73,1.504,0.06342,3
1.73,1.406,0.06201,3
1.85,1.253,0.02555,3
1.85,1.216,0.06444,3
1.85,0.9838,0.06108,3
1.8,0.7993,0.001638,3
1.67,0.6072,0.003682,3
1.73,1.323,0.0413,3
1.86,1.424,0.05588,3
1.86,1.651,0.1753,3
1.86,1.98,0.07536,3
1.86,1.424,0.06268,3
1.73,1.464,0.02166,3
1.73,1.377,0.03524,3
1.85,1.196,0.004382,3
1.85,0.6269,0.07948,3
1.82,0.5997,0.003589,3
1.81,1.254,0.1952,3
1.68,1.432,0.1032,3
1.66,1.291,0.0323,3
1.69,1.244,0.002041,3
1.72,1.166,0.06034,3
1.56,1.177,0.1083,3
1.64,1.233,0.266,3
1.59,1.252,0.4167,3
1.68,1.266,0.5626,3
1.36,0.4251,0.01646,3
1.36,0.7014,0.02816,3
1.43,0.4675,0.00297,3
1.42,1.004,0.01248,3
1.63,0.9899,0.01608,3
1.51,1.027,0.009911,3
1.75,0.8625,0.4084,3
1.77,0.7383,0.3303,3
1.62,0.8074,0.4481,3
1.51,1.336,0.462,3
1.5,0.3412,0.003465,3
1.6,0.5653,0.004261,3
1.6,0.5537,0.002104,3
1.59,0.6201,0.01284,3
1.4,0.6554,0.02699,3
1.4,0.728,0.02248,3
1.38,0.5322,0.001645,3
1.27,0.4173,0.004087,3
1.32,0.4648,0.002385,3
1.43,0.5873,0.0005203,3
1.43,0.5498,4.46E-05,3
1.43,0.583,0.002635,3
1.68,0.5242,0.0006335,3
1.68,0.583,0.0002501,3
1.69,0.614,0.002919,3
1.7,0.5659,0.003379,3
1.69,0.5013,0.002936,3
1.7,0.6282,0.002936,3
1.7,0.7364,0.00192,3
1.71,0.7139,0.002401,3
1.72,0.6022,0.002541,3
1.73,0.6218,0.0003116,3
1.86,0.9145,0.3838,3
1.86,1.195,0.3068,3
1.87,1.31,0.2669,3
1.76,1.27,0.8361,3
1.76,1.29,0.413,3
1.75,1.275,0.2653,3
1.73,1.297,0.4367,3
1.74,1.252,0.4459,3
1.72,1.163,0.4627,3
1.7,1.204,0.7492,3
1.69,1.197,0.1738,3
1.69,1.178,0.05304,3
1.68,1.168,0.3301,3
1.68,1.007,0.284,3
1.65,1.204,0.554,3
1.67,1.108,0.2558,3
1.64,1.129,0.4289,3
1.66,1.221,0.3775,3
1.64,1.195,0.4756,3
1.64,1.103,0.6065,3
1.65,1.189,0.2317,3
1.64,1.053,0.4911,3
1.63,1.134,0.451,3
1.63,1.163,0.533,3
1.62,1.125,0.5476,3
1.62,1.247,0.4701,3
1.61,1.133,0.4938,3
1.36,0.9899,0.7062,3
1.59,1.208,0.5947,3
1.58,1.235,0.313,3
1.58,1.082,0.4037,3
1.57,1.088,0.3138,3
1.58,1.157,0.1996,3
1.56,1.246,0.394,3
1.57,1.189,0.2608,3
1.56,0.9783,0.2592,3
1.76,1.033,0.0077,3
1.76,1.188,0.01126,3
1.76,1.276,0.06862,3
1.76,1.213,0.1547,3
1.76,1.08,0.3069,3
1.74,1.049,0.1692,3
1.74,1.189,0.3387,3
1.73,1.173,0.4725,3
1.51,1.018,0.8996,3
1.73,1.127,0.5759,3
1.71,1.335,0.5341,3
1.71,1.29,0.3958,3
1.71,1.068,0.5463,3
1.7,1.17,0.4641,3
1.67,1.184,0.3603,3
1.67,1.161,0.3003,3
1.67,1.208,0.1185,3
1.67,1.27,0.322,3
1.65,1.078,0.3455,3
1.65,0.9487,0.3597,3
1.64,1.15,0.4079,3
1.65,1.118,0.2656,3
1.65,1.041,0.2623,3
1.64,1.133,0.3178,3
1.79,1.227,0.1523,3
1.8,1.124,0.2378,3
1.78,0.9096,0.197,3
1.79,1.023,0.02809,3
1.78,1.086,0.06677,3
1.78,1.112,0.1137,3
1.78,1.029,0.2797,3
1.74,1.147,0.2072,3
1.75,1.091,0.1882,3
1.74,0.9685,0.1923,3
1.74,1.048,0.3044,3
1.71,1.091,0.3964,3
1.71,1.081,0.248,3
1.71,1.15,0.2969,3
1.71,1.112,0.2724,3
1.69,0.9728,0.3888,3
1.69,0.9367,0.4972,3
1.67,0.9815,0.5084,3
1.67,1.113,0.4561,3
1.67,1.112,0.4728,3
1.67,1.09,0.5698,3
1.66,1.17,0.4455,3
1.66,1.059,0.386,3
1.66,1.029,0.691,3
1.84,1.15,0.1886,3
1.84,1.129,0.09923,3
1.83,0.811,0.2634,3
1.82,0.5635,0.1717,3
1.83,0.8929,0.0164,3
1.8,1.085,0.1782,3
1.8,0.949,0.1233,3
1.79,1.139,0.09291,3
1.41,1.019,0.05726,3
1.57,1.268,0.8029,3
1.41,1.159,0.6943,3
1.4,1.08,0.721,3
1.21,1.191,0.6657,3
1.38,1.3,0.567,3
1.38,1.171,0.413,3
1.38,0.9805,0.3606,3
1.36,1.22,0.5037,3
1.91,1.961,0.5124,3
2.08,0.8044,0.4359,3
2.08,2.351,0.4339,3
2.23,2.178,0.4089,3
2.22,2.244,0.4212,3
2.22,2.34,0.4912,3
1.38,1.622,0.9786,3
1.24,0.6474,0.848,3
1.38,1.609,0.2496,3
1.77,1.386,0.6548,3
1.77,1.186,0.6119,3
1.57,1.426,0.5474,3
1.77,1.478,0.5033,3
1.57,1.478,0.62,3
1.78,1.458,0.775,3
1.81,1.405,0.6893,3
1.82,1.424,0.2707,3
1.82,1.54,0.07667,3
1.83,1.493,0.2486,3
1.82,1.471,0.6616,3
1.83,1.373,0.7872,3
1.65,1.408,0.8464,3
1.65,1.35,0.7453,3
1.66,1.306,0.9758,3
1.66,1.458,0.4144,3
1.65,1.328,0.7078,3
1.7,1.308,0.8373,3
1.69,1.265,0.6315,3
1.69,1.358,0.4223,3
1.7,1.23,0.6077,3
1.69,1.476,0.6404,3
1.7,1.527,0.6674,3
1.74,1.515,0.7872,3
1.75,1.539,0.823,3
1.73,1.414,0.6401,3
1.72,1.245,0.6583,3
1.72,1.321,0.5394,3
1.78,1.405,0.9088,3
1.58,1.329,0.5101,3
1.79,1.438,0.3818,3
1.78,1.337,0.01133,3
1.77,1.399,0.2054,3
1.77,1.476,0.2068,3
1.77,1.359,0.3407,3
1.64,1.354,0.4422,3
1.65,1.341,0.1308,3
1.65,1.304,0.001713,3
1.65,1.346,0.0487,3
1.65,1.382,0.1756,3
1.65,1.288,0.1225,3
1.45,1.32,0.2286,3
1.65,1.146,0.2102,3
1.69,0.992,0.1863,3
1.7,1.169,0.1323,3
1.7,1.295,0.08602,3
1.71,1.274,0.1455,3
1.7,1.375,0.1667,3
1.72,1.37,0.719,3
1.71,1.215,0.1515,3
1.73,1.216,0.1041,3
1.73,1.151,0.06732,3
1.75,1.189,0.1432,3
1.75,1.297,0.4192,3
1.76,1.383,0.9864,3
1.75,1.265,0.3986,3
1.75,1.077,0.2224,3
1.75,1.003,0.2589,3
1.75,1.348,0.266,3
1.75,1.435,0.2227,3
1.56,1.311,0.3951,3
1.56,1.275,0.6253,3
1.58,1.354,0.1072,3
1.58,1.239,0.1138,3
1.59,1.175,0.1048,3
1.58,1.223,0.2901,3
1.36,1.313,0.6688,3
1.6,1.201,0.7799,3
1.59,1.15,0.4049,3
1.61,1.161,0.7678,3
1.62,1.358,0.1587,3
1.63,1.333,0.531,3
1.38,1.317,0.565,3
1.61,1.379,0.4478,3
1.62,1.374,0.5045,3
1.64,1.139,0.2374,3
1.64,1.232,0.8902,3
1.66,1.296,0.4936,3
1.65,1.264,0.4682,3
1.65,1.313,0.473,3
1.66,1.158,0.4209,3
1.68,1.147,0.9534,3
1.69,1.315,0.5991,3
1.68,1.503,0.6759,3
1.7,1.703,0.6732,3
1.69,1.543,0.6947,3
1.44,1.583,0.7584,3
1.72,1.489,0.6829,3
1.72,1.48,0.7364,3
1.72,1.405,0.7488,3
1.72,1.447,0.7452,3
1.72,1.362,0.5258,3
1.74,1.332,0.8562,3
1.75,1.428,0.6777,3
1.75,1.483,0.9248,3
1.48,1.513,0.7471,3
