 Length, Height, Width, Sum, Omnivariance, Eigenentropy, Surface Variation, Verticality, Class
1.984,1.09,1.667,0.4917,0.1338,0.7986,0.6072,0.9211,1
2.511,1.23,1.696,0.5784,0.1622,0.8606,0.584,0.8989,1
2.491,1.22,1.682,0.5981,0.166,0.8638,0.5949,0.8987,1
1.558,1.09,1.599,0.4714,0.1312,0.7911,0.6077,0.9208,1
1.684,1.25,2.386,0.6202,0.1678,0.8585,0.6169,0.8852,1
1.974,1.31,1.719,0.5143,0.1447,0.8268,0.5827,0.9137,1
2.277,1.09,1.574,0.5403,0.1466,0.8237,0.6154,0.8905,1
2.492,1.24,1.676,0.6198,0.1695,0.8648,0.6067,0.8922,1
2.211,1.22,1.687,0.5792,0.1608,0.8562,0.5904,0.9393,1
2.129,1.24,1.889,0.6054,0.1671,0.8642,0.5988,0.8958,1
2.177,1.22,1.64,0.6216,0.1681,0.8609,0.6101,0.9145,1
2.436,1.23,1.677,0.6049,0.1674,0.8638,0.6028,0.9124,1
1.969,1.23,1.971,0.6022,0.1674,0.8664,0.5936,0.9026,1
1.657,1.22,2.405,0.605,0.1646,0.8566,0.6086,0.9156,1
2.458,1.09,1.408,0.5291,0.1269,0.7519,0.719,0.933,1
1.54,1.09,1.975,0.4842,0.1323,0.7953,0.6049,0.9418,1
2.028,1.23,1.653,0.5193,0.1465,0.8277,0.5966,0.9039,1
1.417,1.23,1.675,0.5035,0.1441,0.8251,0.5829,0.9169,1
2.373,1.09,1.67,0.5953,0.1576,0.8361,0.6359,0.9065,1
1.305,1.09,1.897,0.4617,0.1264,0.7795,0.6109,0.931,1
2.368,1.23,1.651,0.6033,0.1663,0.8629,0.5985,0.9124,1
2.409,1.08,1.754,0.5995,0.1574,0.8372,0.6301,0.9066,1
2.19,1.24,1.642,0.5835,0.1627,0.8606,0.5862,0.8649,1
1.343,1.22,1.841,0.4981,0.1415,0.8191,0.5845,0.9498,1
2.038,1.22,1.914,0.5944,0.1634,0.8578,0.5998,0.8906,1
1.938,1.18,1.24,0.4838,0.1339,0.7976,0.6086,0.8748,1
2.454,1.24,1.668,0.6178,0.1692,0.8646,0.6066,0.8933,1
1.832,1.1,1.258,0.4847,0.1343,0.8005,0.5989,0.9087,1
1.497,1.09,2.141,0.5053,0.1216,0.7441,0.7144,0.9376,1
1.559,1.08,1.919,0.4738,0.1315,0.7914,0.61,0.9575,1
2.009,1.24,1.77,0.5058,0.145,0.8265,0.5854,0.904,1
1.695,1.23,1.88,0.498,0.1416,0.8189,0.5865,0.9154,1
1.38,1.09,1.908,0.4897,0.1331,0.7982,0.6017,0.9231,1
1.433,1.12,2.432,0.5473,0.1329,0.7653,0.712,0.918,1
1.719,1.21,2.037,0.5123,0.1438,0.8238,0.5879,0.9412,1
2.046,1.1,1.927,0.5697,0.1551,0.8431,0.6011,0.8953,1
1.43,1.09,1.8,0.4901,0.1316,0.7938,0.6086,0.9323,1
1.996,1.22,1.812,0.4963,0.1413,0.8179,0.5876,0.9073,1
1.666,1.09,1.591,0.4531,0.1218,0.767,0.6213,0.9387,1
2.484,1.23,1.687,0.5804,0.1625,0.8595,0.5909,0.9275,1
2.489,1.31,1.68,0.6025,0.1667,0.8643,0.5962,0.9004,1
1.514,1.09,1.857,0.4837,0.1328,0.798,0.5969,0.922,1
1.819,1.24,1.664,0.4963,0.1425,0.8217,0.5815,0.8835,1
1.383,1.09,1.682,0.4693,0.1311,0.7913,0.6042,0.9079,1
2.512,1.11,1.722,0.5923,0.16,0.847,0.6164,0.885,1
2.559,1.18,1.799,0.583,0.1567,0.8446,0.6039,0.8996,1
1.677,1.08,1.592,0.4694,0.1302,0.7894,0.6054,0.9197,1
1.569,1.23,1.673,0.5012,0.1434,0.8242,0.579,0.9204,1
1.592,1.08,1.57,0.4703,0.1295,0.7864,0.613,0.9282,1
1.735,1.09,1.965,0.485,0.1303,0.7914,0.6061,0.9407,1
1.936,1.09,1.213,0.4893,0.1374,0.8072,0.5986,0.8993,1
1.535,1.09,1.573,0.4523,0.1242,0.7728,0.6152,0.9491,1
2.514,0.95,1.588,0.5797,0.1515,0.826,0.6358,0.9206,1
2.418,1.09,1.702,0.5711,0.1549,0.8386,0.616,0.8922,1
1.59,1.09,1.823,0.4859,0.1335,0.7993,0.5983,0.9328,1
1.593,1.09,2.502,0.5427,0.1464,0.8221,0.6199,0.8864,1
1.79,1.22,1.658,0.4932,0.1404,0.8165,0.5854,0.8967,1
1.458,1.09,1.617,0.4687,0.1293,0.7868,0.6087,0.914,1
2.222,1.22,1.67,0.5963,0.1646,0.8594,0.602,0.9035,1
2.451,1.09,1.634,0.5377,0.1485,0.8301,0.6048,0.8846,1
1.954,1.09,1.937,0.5437,0.149,0.8285,0.6146,0.8961,1
1.901,1.23,1.716,0.4929,0.1407,0.8183,0.5781,0.9342,1
1.332,1.08,1.924,0.4725,0.1314,0.7919,0.6068,0.9565,1
1.992,1.09,1.768,0.4951,0.1348,0.8007,0.6082,0.9292,1
2.263,1.22,1.693,0.5784,0.161,0.8564,0.5914,0.8769,1
1.774,1.12,1.57,0.4757,0.1328,0.7945,0.609,0.9111,1
1.669,1.22,1.98,0.5022,0.1436,0.8239,0.5833,0.9201,1
1.398,1.09,1.644,0.4737,0.1318,0.7922,0.6092,0.9303,1
1.282,1.23,1.807,0.4928,0.1408,0.8183,0.5789,0.9512,1
1.612,1.08,1.592,0.4752,0.1314,0.7915,0.61,0.9343,1
1.703,1.23,2.3,0.5688,0.1587,0.8535,0.5872,0.9462,1
2.118,1.09,1.486,0.4879,0.1176,0.7365,0.7129,0.9188,1
1.92,1.12,2.003,0.5777,0.1559,0.8373,0.626,0.9028,1
2.408,1.23,1.688,0.5832,0.1629,0.8597,0.5924,0.9264,1
1.938,1.09,1.193,0.3981,0.09911,0.6904,0.7034,0.9857,1
1.718,1.24,2.348,0.6,0.1665,0.8634,0.5994,0.8932,1
1.294,1.09,1.85,0.4634,0.1282,0.783,0.6128,0.9409,1
1.74,1.11,2.457,0.6057,0.1644,0.8539,0.6169,0.8787,1
1.238,1.09,1.861,0.4018,0.1009,0.6965,0.6972,0.9753,1
1.7,1.09,2.143,0.5904,0.158,0.8413,0.6232,0.9108,1
1.785,1.23,1.778,0.4957,0.1419,0.8216,0.5754,0.9322,1
1.588,1.08,1.844,0.4651,0.129,0.786,0.6077,0.9215,1
1.748,1.24,1.657,0.4985,0.143,0.8217,0.5874,0.8923,1
1.798,1.09,2.051,0.5773,0.1555,0.8371,0.6242,0.9162,1
1.819,1.18,1.83,0.5038,0.1376,0.8073,0.6053,0.9018,1
2.267,1.09,1.658,0.5648,0.1544,0.8387,0.6141,0.8824,1
1.497,1.09,2.536,0.5643,0.1516,0.8298,0.6263,0.9223,1
2.443,1.23,1.698,0.588,0.1604,0.8519,0.6017,0.9239,1
1.763,1.24,2.532,0.6017,0.1652,0.8594,0.6044,0.9011,1
2.502,1.11,1.84,0.5768,0.1563,0.8424,0.6111,0.8874,1
1.689,1.09,1.59,0.4693,0.1308,0.7905,0.6058,0.9137,1
1.904,1.09,1.33,0.4633,0.1289,0.7867,0.6012,0.9367,1
1.504,1.09,1.615,0.4709,0.131,0.7904,0.6091,0.9303,1
2.018,1.09,1.388,0.4685,0.1307,0.7901,0.6062,0.9176,1
1.916,1.1,1.716,0.4844,0.1339,0.7992,0.6023,0.9317,1
1.604,1.09,1.49,0.4686,0.1303,0.7887,0.6085,0.9057,1
1.881,1.1,1.245,0.4108,0.09956,0.6899,0.7182,0.9722,1
2.402,1.1,1.671,0.5753,0.1557,0.8427,0.6052,0.9007,1
2.516,1.22,1.74,0.6128,0.1668,0.8599,0.6091,0.8999,1
1.884,1.09,1.821,0.4944,0.1357,0.8033,0.6033,0.9289,1
1.952,1.11,1.55,0.4742,0.1319,0.7922,0.6103,0.8962,1
2.333,1.22,1.608,0.5936,0.1623,0.8545,0.6045,0.8999,1
2.456,1.09,1.647,0.5524,0.1493,0.8276,0.6194,0.9374,1
1.447,1.1,1.816,0.4864,0.1337,0.7998,0.5977,0.9238,1
1.811,1.09,1.832,0.4894,0.1337,0.7992,0.6023,0.9376,1
1.741,1.1,1.257,0.4666,0.1302,0.7896,0.6025,0.9583,1
1.856,1.08,1.584,0.4662,0.1279,0.7836,0.609,0.9368,1
2.531,1.24,1.768,0.6039,0.1672,0.8643,0.5997,0.9199,1
2.452,1.24,1.654,0.6038,0.1676,0.8659,0.5962,0.8879,1
1.822,1.22,1.735,0.4923,0.1412,0.8196,0.5771,0.9563,1
1.941,1.23,1.742,0.4907,0.14,0.8165,0.5799,0.936,1
1.674,1.24,2.502,0.6055,0.1649,0.8581,0.6054,0.8913,1
1.589,1.09,1.816,0.4664,0.1301,0.7885,0.607,0.9128,1
2.492,1.09,1.582,0.5861,0.1576,0.8414,0.6214,0.9106,1
2.347,1.22,1.698,0.5582,0.1564,0.8504,0.5821,0.8928,1
2.418,1.1,1.619,0.5586,0.1516,0.8356,0.605,0.9006,1
1.387,1.22,1.802,0.494,0.1391,0.8136,0.5868,0.9526,1
1.796,1.23,1.758,0.4986,0.1413,0.8183,0.587,0.9335,1
2.239,1.09,1.681,0.5749,0.1567,0.8436,0.6099,0.9209,1
2.271,1.09,1.669,0.5847,0.1574,0.8414,0.6205,0.9086,1
2.434,1.09,1.592,0.5821,0.1567,0.8384,0.6268,0.9038,1
1.759,1.08,1.602,0.4691,0.1287,0.7843,0.6154,0.9058,1
1.884,1.09,1.582,0.4702,0.1326,0.7954,0.5998,0.9111,1
2.538,1.24,1.807,0.5919,0.1656,0.8645,0.5913,0.8748,1
2.433,1.22,1.679,0.5938,0.164,0.8603,0.5947,0.9013,1
1.747,1.22,1.717,0.5045,0.1432,0.8231,0.5835,0.9307,1
1.989,1.31,1.68,0.5177,0.1463,0.8297,0.5846,0.9015,1
1.648,1.22,1.951,0.4994,0.142,0.8201,0.5851,0.9406,1
1.868,1.23,1.693,0.5023,0.1438,0.8248,0.5811,0.9311,1
1.667,1.22,2.456,0.6098,0.1647,0.8561,0.6087,0.898,1
1.529,1.08,1.965,0.4739,0.1302,0.7875,0.6168,0.9298,1
2.424,1.09,1.696,0.6005,0.1609,0.8458,0.6235,0.903,1
2.541,1.09,1.533,0.584,0.1567,0.8389,0.6243,0.9102,1
2.467,1.08,1.65,0.5545,0.1477,0.8208,0.6329,0.9254,1
2.239,1.22,1.672,0.6038,0.1654,0.8585,0.6079,0.9149,1
1.976,1.08,1.439,0.4694,0.13,0.7887,0.6063,0.9175,1
1.97,1.11,1.157,0.4069,0.1026,0.7016,0.6954,0.9948,1
2.47,1.24,1.669,0.5974,0.1663,0.8649,0.5929,0.8794,1
2.663,1.09,3.764,1.74,0.2665,-0.1022,0.8577,0.9536,1
1.754,1.09,1.388,0.4022,0.09945,0.6917,0.705,0.9876,1
2.267,1.11,1.869,0.5916,0.1593,0.8438,0.6224,0.8939,1
2.076,1.24,1.794,0.6012,0.1665,0.8624,0.6027,0.8963,1
2.462,1.22,1.683,0.6116,0.1656,0.856,0.6154,0.898,1
2.433,1.22,1.76,0.6005,0.1664,0.8641,0.596,0.885,1
1.911,1.09,1.599,0.461,0.1262,0.7786,0.6126,0.9344,1
2.495,1.24,1.714,0.6163,0.1683,0.8605,0.6158,0.8963,1
2.449,1.22,1.716,0.5974,0.1644,0.8588,0.6026,0.9122,1
1.694,1.22,1.635,0.4991,0.1429,0.8228,0.581,0.9284,1
2.198,1.22,1.644,0.6019,0.1664,0.8634,0.5979,0.9095,1
2.069,1.08,1.918,0.5662,0.1521,0.8318,0.6221,0.8864,1
2.226,1.11,1.567,0.5602,0.1517,0.8315,0.6215,0.9196,1
1.876,1.1,1.257,0.4905,0.1329,0.7963,0.6087,0.934,1
2.478,1.09,1.647,0.5857,0.1596,0.8487,0.6092,0.9097,1
1.708,1.22,1.708,0.4994,0.1413,0.8184,0.5863,0.9459,1
1.634,1.22,1.977,0.4965,0.1414,0.819,0.584,0.9496,1
1.837,1.1,1.807,0.4366,0.1041,0.7044,0.7159,0.9389,1
1.807,0.91,1.476,0.3558,0.05974,0.5951,0.7615,0.964,1
1.086,1.04,1.46,0.3178,0.08321,0.6393,0.6619,0.758,1
1.271,1.08,1.656,0.3897,0.1112,0.734,0.6056,0.8352,1
1.413,1.09,1.743,0.4849,0.1324,0.7933,0.615,0.9423,1
1.358,1.08,1.718,0.4636,0.1291,0.7859,0.6073,0.9183,1
1.616,1.12,1.58,0.4695,0.1305,0.7901,0.6052,0.908,1
1.775,1.08,1.6,0.4701,0.1306,0.79,0.6069,0.9369,1
2.181,1.23,1.711,0.5717,0.1586,0.8517,0.5931,0.9414,1
1.553,1.09,2.484,0.5443,0.1489,0.8292,0.611,0.874,1
2.027,1.09,1.866,0.5231,0.1259,0.7512,0.7169,0.9419,1
1.916,1.11,2.51,0.5622,0.1515,0.834,0.6106,0.8866,1
1.621,1.1,2.493,0.5618,0.1517,0.8313,0.6217,0.9173,1
2.512,1.09,1.645,0.5721,0.1555,0.8424,0.606,0.9265,1
2.146,1.24,1.687,0.6175,0.1702,0.8665,0.6072,0.8937,1
2.486,1.09,1.724,0.6024,0.1615,0.8456,0.627,0.8938,1
4.142,1.24,1.63,1.698,0.2755,-0.001001,0.8433,0.9621,1
1.829,1.12,1.61,0.4749,0.133,0.7958,0.6049,0.9032,1
2.455,1.11,1.623,0.5845,0.1575,0.8413,0.6211,0.9127,1
2.428,1.24,1.748,0.6191,0.1683,0.8616,0.6104,0.9056,1
2.003,1.09,1.431,0.4782,0.131,0.7885,0.6212,0.9069,1
1.927,1.09,1.193,0.397,0.09759,0.685,0.7109,0.9933,1
2.419,1.24,1.668,0.6085,0.167,0.863,0.6008,0.9044,1
1.46,1.09,2.418,0.515,0.1236,0.7462,0.7188,0.9545,1
2.396,1.09,1.467,0.5322,0.1265,0.7499,0.7222,0.9371,1
1.923,1.09,1.141,0.4056,0.1008,0.6955,0.7039,0.9991,1
4.155,1.22,1.744,1.699,0.2706,-0.01766,0.847,0.9616,1
2.501,1.11,1.184,0.5038,0.1224,0.7466,0.7113,0.9627,1
2.458,1.09,1.322,0.5096,0.1205,0.738,0.725,0.9399,1
1.816,1.11,2.107,0.5111,0.1261,0.756,0.705,0.9389,1
1.603,1.09,1.672,0.4627,0.1265,0.7783,0.6181,0.9021,1
2.514,1.22,1.713,0.5755,0.1599,0.8563,0.5824,0.9051,1
1.607,1.08,2.336,0.583,0.1558,0.8376,0.6234,0.9227,1
1.316,1.06,2.427,0.5025,0.1192,0.7382,0.7181,0.98,1
1.655,1.22,2.153,0.6027,0.1662,0.8622,0.6008,0.9152,1
1.792,1.11,2.464,0.5697,0.1567,0.8474,0.5957,0.8954,1
1.69,1.25,2.434,0.5958,0.1635,0.8553,0.6094,0.896,1
1.726,1.1,2.165,0.5659,0.1526,0.8339,0.6185,0.9388,1
2.271,1.1,1.725,0.4983,0.1213,0.7437,0.7127,0.9396,1
1.404,1.1,1.517,0.4077,0.09991,0.6918,0.7119,0.9908,1
1.648,1.24,2.157,0.6034,0.1674,0.8654,0.5968,0.8963,1
1.526,1.08,2.015,0.4654,0.1279,0.7827,0.6128,0.9595,1
2.473,1.22,1.692,0.581,0.1614,0.8563,0.5945,0.9216,1
2.474,1.16,1.907,0.5946,0.1613,0.8518,0.6071,0.8877,1
1.998,1.09,1.531,0.4684,0.1304,0.7883,0.6114,0.9153,1
1.705,1.24,2.161,0.588,0.1644,0.8626,0.5905,0.9054,1
1.267,1.09,1.82,0.3958,0.09778,0.6862,0.7071,0.9856,1
2.428,1.09,1.499,0.5338,0.128,0.7541,0.7188,0.9411,1
2.529,1.12,1.568,0.5808,0.1562,0.8382,0.6241,0.9117,1
1.213,1.1,2.509,0.4971,0.1208,0.7424,0.7137,0.9397,1
1.644,1.24,2.467,0.6038,0.1675,0.8657,0.5962,0.8969,1
1.971,1.08,1.317,0.4728,0.1293,0.7846,0.6208,0.9192,1
1.563,1.08,2.334,0.5426,0.1476,0.8265,0.6118,0.8861,1
2.474,1.11,1.322,0.5296,0.1284,0.7567,0.7141,0.9273,1
1.762,1.08,2.391,0.6158,0.1628,0.8443,0.6339,0.9051,1
1.981,1.07,1.452,0.4618,0.1281,0.7835,0.6085,0.92,1
1.964,1.09,1.106,0.4076,0.1002,0.6931,0.7093,0.9809,1
1.638,1.09,1.777,0.4538,0.121,0.7636,0.6304,0.9467,1
1.572,1.09,1.96,0.4723,0.1321,0.7937,0.6048,0.9342,1
1.06,1.12,1.982,0.4194,0.1032,0.7013,0.7096,0.9729,1
1.958,1.12,1.422,0.4767,0.133,0.7949,0.6094,0.9099,1
1.884,1.11,1.334,0.4167,0.104,0.7047,0.7015,0.9691,1
2.105,1.24,1.809,0.567,0.1594,0.8552,0.5864,0.8977,1
2.469,1.11,1.703,0.5692,0.1557,0.8414,0.6122,0.8946,1
1.737,1.24,1.829,0.4946,0.1418,0.8204,0.5792,0.9197,1
1.733,1.09,2.234,0.4917,0.1176,0.7342,0.7195,0.9482,1
1.67,1.09,2.368,0.5305,0.126,0.7484,0.7235,0.9383,1
1.911,1.09,1.75,0.4785,0.1307,0.7903,0.6111,0.9518,1
1.841,1.09,2.124,0.5045,0.1197,0.7379,0.7213,0.9338,1
1.492,1.09,1.986,0.4786,0.1328,0.7937,0.614,0.9383,1
1.268,1.08,1.952,0.4654,0.1282,0.7824,0.6168,0.9267,1
2.412,1.11,1.366,0.5159,0.1263,0.7543,0.7103,0.9305,1
1.603,1.09,2.312,0.5819,0.1554,0.8357,0.6274,0.9184,1
2.255,1.24,1.672,0.596,0.165,0.8599,0.6027,0.8933,1
1.715,1.21,1.613,0.4869,0.1372,0.8064,0.5995,0.9475,1
1.534,1.09,1.998,0.4698,0.1298,0.7872,0.6122,0.9214,1
1.345,1.09,2.359,0.508,0.121,0.7413,0.719,0.9659,1
1.071,1.09,1.948,0.4153,0.104,0.7051,0.6993,0.9849,1
1.929,1.11,1.707,0.4852,0.1344,0.8003,0.6011,0.9078,1
3.971,1.1,2.493,1.801,0.2591,-0.2172,0.8675,0.9561,1
1.817,1.24,1.768,0.5024,0.1428,0.8215,0.5873,0.9169,1
1.737,1.24,2.422,0.5953,0.1657,0.8638,0.5938,0.8903,1
1.447,1.09,2.406,0.5273,0.1264,0.7516,0.718,0.9264,1
1.404,1.1,2.257,0.498,0.1212,0.7436,0.7127,0.9413,1
1.654,1.24,2.314,0.6012,0.1666,0.8635,0.5995,0.9015,1
1.986,1.08,1.435,0.4732,0.1319,0.7927,0.6077,0.9159,1
1.758,1.11,1.307,0.4157,0.1034,0.7026,0.7039,0.9718,1
2.278,1.09,1.707,0.5903,0.1598,0.8474,0.614,0.9166,1
2.215,1.22,1.85,0.5964,0.1655,0.8637,0.5921,0.8945,1
1.912,1.22,2.027,0.6069,0.166,0.8599,0.6057,0.9072,1
2.381,1.22,1.666,0.5964,0.1647,0.8598,0.6013,0.904,1
1.98,1.09,0.9856,0.4028,0.1001,0.6934,0.7035,0.9935,1
1.58,1.1,1.427,0.4057,0.1008,0.695,0.705,0.9987,1
1.956,1.1,1.911,0.4959,0.1212,0.7444,0.7105,0.953,1
1.389,1.1,1.589,0.4097,0.1015,0.697,0.7062,0.9927,1
2.494,1.11,1.59,0.5902,0.1605,0.8497,0.6103,0.8821,1
1.958,1.09,2.062,0.5836,0.1561,0.8374,0.6258,0.9166,1
2.133,1.23,1.702,0.5912,0.1622,0.8547,0.6041,0.9012,1
1.977,1.16,1.642,0.4996,0.1367,0.8062,0.6011,0.9088,1
2.199,1.08,1.596,0.532,0.1462,0.8259,0.6027,0.8961,1
2.159,1.23,1.913,0.5862,0.1632,0.8588,0.5972,0.8793,1
2.106,1.24,1.707,0.6038,0.1666,0.8618,0.6047,0.8926,1
2.301,1.22,1.632,0.5773,0.1601,0.8543,0.5928,0.8918,1
1.282,1.11,1.802,0.4003,0.1009,0.6964,0.6963,0.9791,1
2.343,1.1,1.503,0.5261,0.125,0.7475,0.7217,0.9336,1
1.773,1.11,2.227,0.4687,0.1172,0.7383,0.7005,0.931,1
1.826,1.09,1.237,0.4695,0.1306,0.789,0.6108,0.9287,1
1.65,1.24,2.442,0.5971,0.1656,0.8625,0.5967,0.8863,1
1.704,1.24,1.502,0.505,0.1445,0.8259,0.5828,0.8995,1
2.06,1.09,1.663,0.4965,0.1199,0.7404,0.7146,0.9562,1
1.587,1.08,2.491,0.5578,0.152,0.8337,0.6158,0.9029,1
2.278,1.09,1.594,0.5529,0.1498,0.8299,0.6147,0.9053,1
1.703,1.11,1.933,0.4837,0.1338,0.7972,0.6096,0.9227,1
1.319,1.09,2.482,0.4916,0.1176,0.7349,0.7178,0.9638,1
1.325,1.09,1.934,0.4671,0.1303,0.7892,0.6057,0.9201,1
1.974,1.09,1.559,0.4665,0.1256,0.7754,0.6259,0.9208,1
2.397,1.24,1.666,0.6035,0.1666,0.8631,0.5998,0.9009,1
2.2,1.11,1.746,0.5672,0.1549,0.8415,0.6058,0.8925,1
1.192,1.1,1.95,0.4069,0.1015,0.6975,0.7021,0.9948,1
1.824,1.11,2.09,0.5701,0.1563,0.8454,0.6007,0.897,1
1.614,1.08,1.57,0.4774,0.1308,0.7897,0.6138,0.9197,1
2.485,1.09,1.297,0.4956,0.1199,0.741,0.7133,0.9472,1
2.312,1.22,1.695,0.5666,0.1595,0.8556,0.5852,0.9025,1
1.868,1.09,1.25,0.4011,0.09933,0.6909,0.7059,0.9932,1
1.8,1.1,1.239,0.4701,0.1303,0.7888,0.6094,0.8995,1
1.628,1.09,1.604,0.4798,0.1324,0.7929,0.6151,0.9242,1
2.522,1.08,1.566,0.5732,0.1531,0.8315,0.6285,0.925,1
2.439,1.23,1.68,0.5859,0.1635,0.8611,0.59,0.9234,1
1.808,1.1,1.344,0.4097,0.1021,0.6991,0.7029,0.9993,1
1.581,1.09,4.231,1.756,0.2615,-0.1355,0.8603,0.9478,1
1.88,1.09,1.566,0.4694,0.1312,0.7916,0.6036,0.9078,1
1.332,1.09,2.384,0.4953,0.1192,0.7387,0.7158,0.9566,1
1.492,1.09,1.452,0.4047,0.09965,0.6912,0.7097,0.9854,1
2.422,1.23,1.677,0.5916,0.1646,0.8622,0.5926,0.9101,1
2.436,1.21,1.603,0.5903,0.1596,0.8468,0.6144,0.9289,1
1.767,1.23,1.725,0.4909,0.1405,0.8178,0.5776,0.9439,1
1.777,1.09,1.608,0.4716,0.1305,0.789,0.6117,0.9119,1
4.059,1.21,2.225,1.664,0.2655,0.0224,0.8449,0.9635,1
2.458,1.23,1.683,0.5829,0.1628,0.8605,0.5878,0.924,1
1.709,1.23,2.258,0.5828,0.1613,0.8558,0.5957,0.9247,1
2.365,1.09,1.597,0.4986,0.1192,0.7381,0.7179,0.9651,1
1.452,1.09,1.477,0.4036,0.1003,0.6937,0.7045,0.9972,1
2.478,1.24,1.758,0.5887,0.1652,0.8645,0.5894,0.9226,1
1.625,1.09,4.175,1.797,0.2675,-0.1855,0.8623,0.955,1
2.45,1.09,1.294,0.4926,0.119,0.7393,0.713,0.9717,1
2.228,1.1,1.622,0.5957,0.1613,0.8495,0.6147,0.9141,1
1.756,1.08,1.269,0.4064,0.09865,0.6878,0.7161,0.9931,1
2.178,1.11,1.781,0.4988,0.1219,0.7464,0.7089,0.9596,1
1.886,1.11,2.055,0.5894,0.1602,0.848,0.6147,0.8826,1
2.445,1.23,1.707,0.5963,0.1641,0.8573,0.6058,0.9021,1
1.996,1.1,1.35,0.4724,0.1319,0.7926,0.6076,0.8941,1
1.859,1.09,2.015,0.5433,0.147,0.8236,0.6186,0.9001,1
2.061,1.11,1.913,0.5274,0.1289,0.7592,0.7103,0.9334,1
1.657,1.24,2.442,0.5988,0.1648,0.8587,0.6049,0.905,1
1.716,1.24,2.487,0.5957,0.1657,0.8626,0.598,0.8946,1
1.792,1.09,2.231,0.5786,0.1549,0.8351,0.6273,0.909,1
2.543,1.08,1.533,0.5806,0.1541,0.8321,0.6319,0.9295,1
1.838,1.22,2.195,0.6121,0.166,0.8577,0.6115,0.9042,1
2.431,1.23,1.695,0.5857,0.1629,0.8593,0.5932,0.9166,1
1.922,1.1,1.567,0.4727,0.1321,0.7937,0.6051,0.8839,1
1.723,1.24,2.41,0.5911,0.164,0.8615,0.5904,0.9131,1
1.879,1.09,1.25,0.4038,0.1004,0.6941,0.7041,0.9913,1
2.25,1.23,1.644,0.602,0.1652,0.8593,0.6047,0.9003,1
2.499,1.09,1.214,0.4889,0.1181,0.7366,0.7148,0.9608,1
1.517,1.08,1.964,0.4744,0.1302,0.7873,0.6174,0.9326,1
1.842,1.22,1.715,0.4955,0.1414,0.819,0.5828,0.951,1
1.704,1.09,1.572,0.4714,0.1309,0.7901,0.6097,0.908,1
2.438,1.22,1.683,0.5961,0.1652,0.8617,0.5972,0.897,1
1.648,1.09,2.185,0.5955,0.1586,0.8381,0.6355,0.8984,1
1.336,1.09,2.366,0.4944,0.1193,0.7395,0.7141,0.9469,1
2.215,1.1,1.597,0.5439,0.1304,0.7573,0.7204,0.928,1
1.909,1.09,2.009,0.5177,0.1224,0.7417,0.7246,0.9447,1
1.423,1.08,2.019,0.471,0.1276,0.7812,0.6207,0.9125,1
1.719,1.12,1.718,0.4843,0.1351,0.8005,0.6065,0.9139,1
2.234,1.21,1.636,0.6385,0.1669,0.8495,0.6315,0.8891,1
2.501,1.1,1.598,0.5642,0.1521,0.8319,0.6223,0.8981,1
1.967,1.09,1.556,0.4654,0.1313,0.7931,0.5951,0.9139,1
1.952,1.11,1.22,0.4096,0.1031,0.7028,0.6969,0.9838,1
1.683,1.23,2.136,0.6021,0.1651,0.8583,0.6072,0.9056,1
1.882,1.09,1.614,0.4709,0.1318,0.7934,0.6021,0.9067,1
1.938,1.23,1.889,0.4992,0.1421,0.8208,0.5823,0.9416,1
2.316,1.23,1.618,0.5994,0.1659,0.8616,0.602,0.9005,1
2.53,1.09,1.578,0.5598,0.1532,0.8364,0.614,0.9028,1
1.461,1.1,1.616,0.4694,0.1306,0.7901,0.6057,0.9405,1
1.731,1.23,1.417,0.4911,0.14,0.8151,0.5869,0.9573,1
1.885,1.09,1.182,0.4064,0.1012,0.6969,0.7018,0.9673,1
1.983,1.1,1.453,0.4743,0.1312,0.7905,0.6117,0.91,1
2.49,1.1,1.598,0.5782,0.1562,0.8386,0.6242,0.905,1
1.603,1.23,2.521,0.5985,0.1642,0.8551,0.6142,0.8946,1
2.501,1.24,1.697,0.6001,0.1641,0.8556,0.6105,0.8992,1
2.229,1.23,1.744,0.5821,0.1626,0.8601,0.588,0.9051,1
1.963,1.09,1.153,0.4014,0.1012,0.6975,0.6951,0.9828,1
1.576,1.09,1.609,0.4667,0.1314,0.7934,0.596,0.9131,1
1.672,1.09,1.399,0.4703,0.1314,0.7922,0.604,0.9095,1
1.753,1.11,1.622,0.4798,0.1333,0.795,0.6136,0.904,1
2.324,1.09,1.681,0.591,0.1569,0.838,0.6271,0.8996,1
1.934,1.09,2.106,0.5861,0.1579,0.841,0.6249,0.9207,1
1.561,1.09,2.075,0.4727,0.1157,0.7333,0.7082,0.9546,1
1.769,1.23,2.017,0.5755,0.1612,0.8574,0.59,0.8997,1
1.692,1.24,2.157,0.6024,0.1648,0.8584,0.6046,0.8911,1
1.704,1.24,2.505,0.6039,0.1684,0.8685,0.5926,0.8924,1
1.514,1.08,2.284,0.5425,0.1279,0.7515,0.724,0.9413,1
1.876,1.08,2.186,0.5878,0.1542,0.832,0.6308,0.9048,1
1.622,1.12,1.621,0.4768,0.1344,0.7985,0.6063,0.8927,1
1.399,1.1,2.293,0.5136,0.123,0.745,0.719,0.9317,1
1.608,1.08,1.528,0.4681,0.1297,0.7877,0.6083,0.9208,1
