 Height, Width, Verticality, Class
1.08,1.844,0.9215,1
1.24,1.657,0.8923,1
1.09,2.051,0.9162,1
1.18,1.83,0.9018,1
1.09,1.658,0.8824,1
1.09,2.536,0.9223,1
1.23,1.698,0.9239,1
1.24,2.532,0.9011,1
1.11,1.84,0.8874,1
1.09,1.59,0.9137,1
1.09,1.33,0.9367,1
1.09,1.615,0.9303,1
1.09,1.388,0.9176,1
1.1,1.716,0.9317,1
1.09,1.49,0.9057,1
1.1,1.245,0.9722,1
1.1,1.671,0.9007,1
1.22,1.74,0.8999,1
1.09,1.821,0.9289,1
1.11,1.55,0.8962,1
1.22,1.608,0.8999,1
1.09,1.647,0.9374,1
1.1,1.816,0.9238,1
1.09,1.832,0.9376,1
1.1,1.257,0.9583,1
1.08,1.584,0.9368,1
1.24,1.768,0.9199,1
1.24,1.654,0.8879,1
1.22,1.735,0.9563,1
1.23,1.742,0.936,1
1.24,2.502,0.8913,1
1.09,1.816,0.9128,1
1.09,1.582,0.9106,1
1.22,1.698,0.8928,1
1.1,1.619,0.9006,1
1.22,1.802,0.9526,1
1.23,1.758,0.9335,1
1.09,1.681,0.9209,1
1.09,1.669,0.9086,1
1.09,1.592,0.9038,1
1.08,1.602,0.9058,1
1.09,1.582,0.9111,1
1.24,1.807,0.8748,1
1.22,1.679,0.9013,1
1.22,1.717,0.9307,1
1.31,1.68,0.9015,1
1.22,1.951,0.9406,1
1.23,1.693,0.9311,1
1.22,2.456,0.898,1
1.08,1.965,0.9298,1
1.09,1.696,0.903,1
1.09,1.533,0.9102,1
1.08,1.65,0.9254,1
1.22,1.672,0.9149,1
1.08,1.439,0.9175,1
1.11,1.157,0.9948,1
1.24,1.669,0.8794,1
1.09,3.764,0.9536,1
1.09,1.388,0.9876,1
1.11,1.869,0.8939,1
1.24,1.794,0.8963,1
1.22,1.683,0.898,1
1.22,1.76,0.885,1
1.09,1.599,0.9344,1
1.24,1.714,0.8963,1
1.22,1.716,0.9122,1
1.22,1.635,0.9284,1
1.22,1.644,0.9095,1
1.08,1.918,0.8864,1
1.11,1.567,0.9196,1
1.1,1.257,0.934,1
1.09,1.647,0.9097,1
1.22,1.708,0.9459,1
1.22,1.977,0.9496,1
1.1,1.807,0.9389,1
0.91,1.476,0.964,1
1.04,1.46,0.758,1
1.08,1.656,0.8352,1
1.09,1.743,0.9423,1
1.08,1.718,0.9183,1
1.12,1.58,0.908,1
1.08,1.6,0.9369,1
1.23,1.711,0.9414,1
1.09,2.484,0.874,1
1.09,1.866,0.9419,1
1.11,2.51,0.8866,1
1.1,2.493,0.9173,1
1.09,1.645,0.9265,1
1.24,1.687,0.8937,1
1.09,1.724,0.8938,1
1.24,1.63,0.9621,1
1.12,1.61,0.9032,1
1.11,1.623,0.9127,1
1.24,1.748,0.9056,1
1.09,1.431,0.9069,1
1.09,1.193,0.9933,1
1.24,1.668,0.9044,1
1.09,2.418,0.9545,1
1.09,1.467,0.9371,1
1.09,1.141,0.9991,1
1.22,1.744,0.9616,1
1.11,1.184,0.9627,1
1.09,1.322,0.9399,1
1.11,2.107,0.9389,1
1.09,1.672,0.9021,1
1.22,1.713,0.9051,1
1.08,2.336,0.9227,1
1.06,2.427,0.98,1
1.22,2.153,0.9152,1
1.11,2.464,0.8954,1
1.25,2.434,0.896,1
1.1,2.165,0.9388,1
1.1,1.725,0.9396,1
1.1,1.517,0.9908,1
1.24,2.157,0.8963,1
1.08,2.015,0.9595,1
1.22,1.692,0.9216,1
1.16,1.907,0.8877,1
1.09,1.531,0.9153,1
1.24,2.161,0.9054,1
1.09,1.82,0.9856,1
1.09,1.499,0.9411,1
1.12,1.568,0.9117,1
1.1,2.509,0.9397,1
1.24,2.467,0.8969,1
1.08,1.317,0.9192,1
1.08,2.334,0.8861,1
1.11,1.322,0.9273,1
1.08,2.391,0.9051,1
1.07,1.452,0.92,1
1.09,1.106,0.9809,1
1.09,1.777,0.9467,1
1.09,1.96,0.9342,1
1.12,1.982,0.9729,1
1.12,1.422,0.9099,1
1.11,1.334,0.9691,1
1.24,1.809,0.8977,1
1.11,1.703,0.8946,1
1.24,1.829,0.9197,1
1.09,2.234,0.9482,1
1.09,2.368,0.9383,1
1.09,1.75,0.9518,1
1.09,2.124,0.9338,1
1.09,1.986,0.9383,1
1.08,1.952,0.9267,1
1.11,1.366,0.9305,1
1.09,2.312,0.9184,1
1.24,1.672,0.8933,1
1.21,1.613,0.9475,1
1.09,1.998,0.9214,1
1.09,2.359,0.9659,1
1.09,1.948,0.9849,1
1.11,1.707,0.9078,1
1.1,2.493,0.9561,1
1.24,1.768,0.9169,1
1.24,2.422,0.8903,1
1.09,2.406,0.9264,1
1.1,2.257,0.9413,1
1.24,2.314,0.9015,1
1.08,1.435,0.9159,1
1.11,1.307,0.9718,1
1.09,1.707,0.9166,1
1.22,1.85,0.8945,1
1.22,2.027,0.9072,1
1.22,1.666,0.904,1
1.09,0.9856,0.9935,1
1.1,1.427,0.9987,1
1.1,1.911,0.953,1
1.1,1.589,0.9927,1
1.11,1.59,0.8821,1
1.09,2.062,0.9166,1
1.23,1.702,0.9012,1
1.16,1.642,0.9088,1
1.08,1.596,0.8961,1
1.23,1.913,0.8793,1
1.24,1.707,0.8926,1
1.22,1.632,0.8918,1
1.11,1.802,0.9791,1
1.1,1.503,0.9336,1
1.11,2.227,0.931,1
1.09,1.237,0.9287,1
1.24,2.442,0.8863,1
1.24,1.502,0.8995,1
1.09,1.663,0.9562,1
1.08,2.491,0.9029,1
1.09,1.594,0.9053,1
1.11,1.933,0.9227,1
1.09,2.482,0.9638,1
1.09,1.934,0.9201,1
1.09,1.559,0.9208,1
1.24,1.666,0.9009,1
1.11,1.746,0.8925,1
1.1,1.95,0.9948,1
1.11,2.09,0.897,1
1.08,1.57,0.9197,1
1.09,1.297,0.9472,1
1.22,1.695,0.9025,1
1.09,1.25,0.9932,1
1.1,1.239,0.8995,1
1.09,1.604,0.9242,1
1.08,1.566,0.925,1
1.23,1.68,0.9234,1
1.1,1.344,0.9993,1
1.09,4.231,0.9478,1
1.09,1.566,0.9078,1
1.09,2.384,0.9566,1
1.09,1.452,0.9854,1
1.23,1.677,0.9101,1
1.21,1.603,0.9289,1
1.23,1.725,0.9439,1
1.09,1.608,0.9119,1
1.21,2.225,0.9635,1
1.23,1.683,0.924,1
1.23,2.258,0.9247,1
1.09,1.597,0.9651,1
1.09,1.477,0.9972,1
1.24,1.758,0.9226,1
1.09,4.175,0.955,1
1.09,1.294,0.9717,1
1.1,1.622,0.9141,1
1.08,1.269,0.9931,1
1.11,1.781,0.9596,1
1.11,2.055,0.8826,1
1.23,1.707,0.9021,1
1.1,1.35,0.8941,1
1.09,2.015,0.9001,1
1.11,1.913,0.9334,1
1.24,2.442,0.905,1
1.24,2.487,0.8946,1
1.09,2.231,0.909,1
1.08,1.533,0.9295,1
1.22,2.195,0.9042,1
1.23,1.695,0.9166,1
1.1,1.567,0.8839,1
1.24,2.41,0.9131,1
1.09,1.25,0.9913,1
1.23,1.644,0.9003,1
1.09,1.214,0.9608,1
1.08,1.964,0.9326,1
1.22,1.715,0.951,1
1.09,1.572,0.908,1
1.22,1.683,0.897,1
1.09,2.185,0.8984,1
1.09,2.366,0.9469,1
1.1,1.597,0.928,1
1.09,2.009,0.9447,1
1.08,2.019,0.9125,1
1.12,1.718,0.9139,1
1.21,1.636,0.8891,1
1.1,1.598,0.8981,1
1.09,1.556,0.9139,1
1.11,1.22,0.9838,1
1.23,2.136,0.9056,1
1.09,1.614,0.9067,1
1.23,1.889,0.9416,1
1.23,1.618,0.9005,1
1.09,1.578,0.9028,1
1.1,1.616,0.9405,1
1.23,1.417,0.9573,1
1.09,1.182,0.9673,1
1.1,1.453,0.91,1
1.1,1.598,0.905,1
1.23,2.521,0.8946,1
1.24,1.697,0.8992,1
1.23,1.744,0.9051,1
1.09,1.153,0.9828,1
1.09,1.609,0.9131,1
1.09,1.399,0.9095,1
1.11,1.622,0.904,1
1.09,1.681,0.8996,1
1.09,2.106,0.9207,1
1.09,2.075,0.9546,1
1.23,2.017,0.8997,1
1.24,2.157,0.8911,1
1.24,2.505,0.8924,1
1.08,2.284,0.9413,1
1.08,2.186,0.9048,1
1.12,1.621,0.8927,1
1.1,2.293,0.9317,1
1.08,1.528,0.9208,1
1.24,1.61,0.9266,1
1.08,1.612,0.9272,1
1.08,1.58,0.9486,1
1.09,1.961,0.9072,1
1.08,1.974,0.9324,1
1.09,1.815,0.9131,1
1.11,1.531,0.8856,1
1.09,1.144,0.868,1
1.11,1.641,0.7889,1
0.71,1.488,0.7324,1
0.91,0.5342,0.7059,1
0.91,2.103,0.9853,1
1.24,2.5,0.9027,1
1.21,1.638,0.9226,1
1.09,1.706,0.9115,1
1.23,1.683,0.9176,1
1.24,1.736,0.9207,1
1.24,1.69,0.9146,1
1.24,1.664,0.9056,1
1.09,1.1,0.9865,1
1.08,1.432,0.9489,1
1.09,1.579,0.9164,1
1.08,1.6,0.9238,1
1.08,1.963,0.9313,1
1.09,1.818,0.9134,1
1.09,1.721,0.9217,1
1.09,1.461,0.9256,1
1.09,2.318,0.9133,1
1.08,1.827,0.9551,1
1.09,2.318,0.9582,1
1.23,1.677,0.9149,1
1.23,3.442,0.9426,1
1.24,1.689,0.8977,1
1.11,1.088,0.9881,1
1.09,1.129,0.9867,1
1.08,1.504,0.8911,1
1.08,1.608,0.9261,1
1.08,1.522,0.9188,1
1.11,1.31,0.9841,1
1.1,1.722,0.9346,1
1.1,2.333,0.9474,1
1.11,2.278,0.9577,1
1.1,1.983,0.9348,1
1.09,1.456,0.9613,1
1.09,2.369,0.8905,1
1.09,1.6,0.9469,1
1.08,1.608,0.9267,1
1.08,1.83,0.939,1
1.09,1.33,0.9222,1
1.09,1.279,0.9995,1
1.17,1.782,0.9119,1
1.23,1.904,0.8949,1
1.23,2.086,0.8983,1
1.1,1.387,0.9545,1
1.09,1.324,0.9266,1
1.22,1.726,0.9119,1
1.09,1.961,0.9044,1
1.23,2.01,0.8968,1
1.17,1.38,0.9019,1
1.12,2.415,0.9328,1
1.09,2.072,0.9494,1
1.22,2.101,0.9383,1
1.24,1.689,0.9072,1
1.23,1.695,0.9317,1
1.1,2.284,0.9163,1
1.09,1.055,0.9829,1
1.12,1.336,0.9848,1
1.09,2.115,0.8731,1
1.08,2.028,0.9418,1
1.12,1.93,0.9268,1
1.09,1.888,0.9037,1
1.21,1.428,0.9333,1
1.09,1.297,0.9946,1
1.1,2.113,0.9105,1
1.11,1.432,0.9014,1
1.21,1.708,0.9047,1
1.23,1.696,0.9636,1
1.08,1.585,0.9355,1
1.09,1.648,0.9207,1
1.08,1.59,0.9349,1
1.23,2.513,0.8907,1
1.1,1.341,0.9367,1
1.1,2.421,0.9511,1
1.09,2.231,0.9495,1
1.08,1.965,0.9232,1
1.09,1.835,0.9135,1
1.09,1.944,0.9151,1
1.1,1.345,0.9431,1
1.24,1.441,0.9386,1
1.09,1.704,0.9106,1
1.09,1.525,0.9112,1
1.09,1.275,0.9794,1
1.23,2.418,0.885,1
1.1,1.4,0.9156,1
1.08,1.765,0.9955,1
1.29,1.733,0.9192,1
1.09,2.089,0.9494,1
1.09,1.386,0.9843,1
1.22,2.406,0.9008,1
1.09,1.583,0.967,1
1.09,1.399,0.9525,1
1.09,2.321,0.9389,1
1.21,1.65,0.9025,1
1.11,1.271,0.9845,1
1.09,1.429,0.9125,1
1.09,1.6,0.9344,1
1.09,1.327,0.9839,1
1.08,1.745,0.9302,1
1.09,1.968,0.9135,1
1.09,1.946,0.9565,1
1.09,1.97,0.9186,1
1.08,1.588,0.9284,1
1.12,1.598,0.9456,1
1.08,1.595,0.9335,1
1.09,1.305,0.9683,1
1.11,1.481,0.9025,1
1.23,2.159,0.9212,1
1.24,2.01,0.9122,1
1.24,1.755,0.8828,1
1.22,1.711,0.8988,1
1.24,2.01,0.8951,1
1.09,1.411,0.952,1
1.24,2.253,0.8942,1
1.09,2.299,0.9578,1
1.09,2.459,0.9125,1
1.11,1.621,0.9279,1
1.11,1.609,0.8927,1
1.08,1.939,0.8852,1
1.23,1.66,0.898,1
1.09,1.579,0.9335,1
1.12,1.266,0.9365,1
1.24,1.667,0.8829,1
1.09,2.039,0.9661,1
1.23,2.37,0.8975,1
1.11,1.286,0.9314,1
1.09,1.332,0.911,1
1.09,1.693,0.9031,1
1.22,1.679,0.9263,1
1.23,1.842,0.9324,1
1.11,2.028,0.9134,1
1.23,1.766,0.9365,1
1.23,1.697,0.9191,1
1.1,1.963,0.9027,1
1.09,1.97,0.9117,1
1.1,1.37,0.9273,1
1.23,1.755,0.9158,1
1.08,1.96,0.9321,1
1.09,1.722,0.8969,1
1.22,2.526,0.9021,1
1.09,2.187,0.9057,1
1.09,1.701,0.9561,1
1.09,1.629,0.9225,1
1.08,1.789,0.9896,1
1.07,1.352,0.9601,1
1.09,2.079,0.932,1
0.92,1.637,0.9875,1
1.13,1.606,0.6153,1
1.28,1.912,0.8154,1
1.29,1.577,0.847,1
1.27,1.506,0.8927,1
1.27,1.953,0.8463,1
1.29,2.004,0.8567,1
1.29,1.87,0.8278,1
1.29,1.504,0.8727,1
1.29,1.408,0.8412,1
1.27,1.745,0.8959,1
1.14,1.554,0.9112,1
1.14,2.138,0.9131,1
1.12,1.402,0.9121,1
1.14,1.858,0.91,1
1.14,1.926,0.9042,1
1.14,1.677,0.8984,1
1.14,2.047,0.9142,1
1.29,1.745,0.8042,1
1.28,1.912,0.8868,1
1.29,1.747,0.8748,1
1.14,1.597,0.9119,1
1.14,1.584,0.8519,1
1.29,1.495,0.8609,1
1.29,1.56,0.8945,1
1.27,1.622,0.8828,1
1.32,1.596,0.8971,1
1.29,1.639,0.8815,1
1.3,1.449,0.8499,1
1.28,1.624,0.8582,1
1.28,2.034,0.8822,1
1.14,1.763,0.9139,1
1.28,1.573,0.9022,1
1.29,2.228,0.9047,1
1.27,1.678,0.8347,1
1.14,2.095,0.8537,1
1.28,1.502,0.8394,1
1.28,1.993,0.8619,1
1.28,1.581,0.8849,1
1.28,1.903,0.8853,1
1.14,1.639,0.906,1
1.14,1.661,0.9107,1
1.3,1.754,0.853,1
1.3,1.706,0.8497,1
1.3,1.831,0.8731,1
1.27,1.7,0.8389,1
1.15,1.867,0.8893,1
1.14,2.065,0.8971,1
1.29,2.053,0.8242,1
1.12,1.818,0.9182,1
1.14,1.743,0.8759,1
1.29,2.059,0.8339,1
1.14,1.645,0.9108,1
1.28,1.604,0.8859,1
1.28,2.065,0.8351,1
1.29,2.061,0.8018,1
1.29,1.807,0.8747,1
1.14,1.954,0.8663,1
1.14,2.146,0.9112,1
1.27,2.091,0.8499,1
1.29,2.053,0.8319,1
1.15,1.712,0.9053,1
1.13,1.727,0.8869,1
1.29,1.841,0.8947,1
1.28,2.046,0.8478,1
1.28,1.78,0.8562,1
1.29,1.739,0.8772,1
1.28,1.736,0.8513,1
1.28,1.616,0.899,1
1.27,1.859,0.8965,1
1.3,2.057,0.8633,1
1.14,1.651,0.8943,1
1.28,2.574,0.9041,1
1.28,1.576,0.8438,1
1.3,1.486,0.8466,1
1.28,2.648,0.9012,1
1.29,1.67,0.834,1
1.14,1.536,0.8502,1
1.27,1.948,0.8591,1
1.14,1.509,0.8523,1
1.14,1.996,0.913,1
1.28,1.486,0.8487,1
1.14,1.683,0.915,1
1.28,1.49,0.8781,1
1.14,2.098,0.8752,1
1.3,1.743,0.8237,1
1.28,1.509,0.85,1
1.14,1.508,0.8576,1
1.28,1.682,0.897,1
1.29,1.718,0.904,1
1.27,1.698,0.8522,1
1.28,1.627,0.8461,1
1.28,1.902,0.8854,1
1.29,1.738,0.8542,1
1.29,1.662,0.9082,1
1.28,1.681,0.8804,1
1.28,1.573,0.8708,1
1.28,1.752,0.8349,1
1.28,1.994,0.9033,1
1.28,2.086,0.8618,1
1.28,1.535,0.8895,1
1.3,1.949,0.8471,1
1.28,1.703,0.8689,1
1.28,1.756,0.8378,1
1.28,1.578,0.8539,1
1.3,2.037,0.8391,1
1.27,1.936,0.885,1
1.28,1.999,0.9133,1
1.28,2.026,0.8679,1
1.28,1.628,0.887,1
1.14,2.109,0.8649,1
1.29,1.438,0.8743,1
1.29,1.894,0.8473,1
1.28,1.476,0.8616,1
1.29,1.574,0.8525,1
1.28,1.582,0.8779,1
1.28,1.58,0.8944,1
1.29,1.69,0.8631,1
1.28,1.911,0.8555,1
1.28,1.475,0.8683,1
1.14,1.943,0.9131,1
1.28,1.687,0.8447,1
1.29,1.716,0.8485,1
1.29,1.696,0.8114,1
1.14,1.81,0.9124,1
1.28,1.534,0.8838,1
1.28,1.693,0.8638,1
1.28,1.747,0.8588,1
1.28,1.533,0.848,1
1.3,1.959,0.834,1
1.28,1.896,0.8355,1
1.14,2.256,0.9226,1
1.28,1.509,0.8601,1
1.3,1.678,0.843,1
1.28,1.733,0.8632,1
1.28,1.881,0.867,1
1.29,1.649,0.8119,1
1.28,1.567,0.8585,1
1.27,1.615,0.8702,1
1.14,1.662,0.9185,1
1.29,1.754,0.8752,1
1.27,1.617,0.8853,1
1.27,1.541,0.8691,1
1.28,1.53,0.8649,1
1.27,1.513,0.8857,1
1.29,1.632,0.8559,1
1.14,2.06,0.8938,1
1.27,1.454,0.8676,1
1.29,1.75,0.8457,1
1.28,1.501,0.8916,1
1.28,1.634,0.858,1
1.28,1.629,0.8791,1
1.28,1.962,0.8917,1
1.29,2.094,0.8476,1
1.14,1.676,0.8885,1
1.27,1.971,0.8767,1
1.15,2.095,0.8798,1
1.28,1.891,0.8657,1
1.14,1.745,0.9118,1
1.28,1.578,0.862,1
1.27,1.529,0.8896,1
1.29,1.482,0.8546,1
1.13,1.959,0.8971,1
1.29,1.908,0.8459,1
1.28,1.553,0.8349,1
1.3,1.487,0.8332,1
1.28,1.614,0.8853,1
1.29,1.932,0.902,1
1.28,1.73,0.859,1
1.27,2.046,0.8759,1
1.27,2.037,0.8337,1
1.27,1.669,0.8847,1
1.29,1.777,0.8832,1
1.29,1.958,0.8377,1
1.29,1.632,0.8758,1
1.28,1.88,0.8713,1
1.29,1.801,0.8458,1
1.29,1.519,0.8403,1
1.14,1.905,0.9127,1
1.29,1.687,0.8955,1
1.27,1.517,0.8647,1
1.28,1.59,0.8358,1
1.27,1.91,0.8825,1
1.14,1.456,0.893,1
1.28,1.907,0.8865,1
1.27,1.763,0.8355,1
1.29,1.942,0.8407,1
1.14,1.947,0.8882,1
1.27,1.834,0.8944,1
1.14,2.111,0.9125,1
1.29,1.43,0.8609,1
1.14,1.634,0.8546,1
1.14,1.611,0.9132,1
1.27,2.094,0.8539,1
1.29,2.106,0.8261,1
1.27,2.11,0.8688,1
1.27,1.894,0.8896,1
1.27,1.613,0.8685,1
1.29,1.759,0.8551,1
1.12,1.645,0.915,1
1.29,1.99,0.8511,1
1.29,1.461,0.8379,1
1.27,1.973,0.8658,1
1.27,1.7,0.8686,1
1.14,1.511,0.8507,1
1.27,1.555,0.8685,1
1.28,1.868,0.8859,1
1.27,1.511,0.8701,1
1.28,2.542,0.9068,1
1.27,1.698,0.8709,1
1.29,1.589,0.8349,1
1.27,2.546,0.913,1
1.28,1.627,0.8684,1
1.27,1.674,0.8605,1
1.27,1.5,0.8662,1
1.27,1.591,0.8912,1
1.28,1.622,0.8946,1
1.27,1.657,0.8445,1
1.29,2.033,0.847,1
1.27,1.581,0.8348,1
1.29,1.941,0.8819,1
1.27,1.638,0.8717,1
1.27,1.558,0.8563,1
1.29,1.993,0.8571,1
1.29,1.534,0.8563,1
1.14,1.533,0.8939,1
1.14,2.081,0.9124,1
1.29,1.738,0.8746,1
1.29,2.085,0.8713,1
1.27,1.719,0.8661,1
1.27,1.734,0.8782,1
1.29,1.667,0.894,1
1.27,1.639,0.8781,1
1.27,1.719,0.8617,1
1.29,1.56,0.8802,1
1.27,1.68,0.8426,1
1.14,2.097,0.9004,1
1.14,1.501,0.8749,1
1.14,1.517,0.877,1
1.27,1.57,0.9064,1
1.29,1.506,0.8857,1
1.27,1.603,0.8844,1
1.29,1.531,0.839,1
1.29,1.776,0.8321,1
1.14,1.557,0.8799,1
1.29,1.918,0.8772,1
1.13,1.978,0.8867,1
1.29,1.976,0.8244,1
1.27,1.687,0.838,1
1.27,1.989,0.8357,1
1.27,1.84,0.8863,1
1.14,2.096,0.8946,1
1.28,1.628,0.8645,1
1.29,1.816,0.8606,1
1.27,1.514,0.8403,1
1.29,1.539,0.8348,1
1.27,2.225,0.9069,1
1.29,1.61,0.8335,1
1.29,1.913,0.8594,1
1.29,1.902,0.8376,1
1.28,2.059,0.8834,1
1.28,2.113,0.9343,1
1.27,2.243,0.8554,1
1.27,1.966,0.8874,1
1.14,1.667,0.9051,1
1.29,1.896,0.8814,1
1.29,1.904,0.8518,1
1.11,1.76,0.8012,1
1.12,1.455,0.463,1
1.27,1.918,0.8089,1
1.27,1.479,0.8487,1
1.28,1.745,0.8973,1
1.29,1.663,0.8284,1
1.14,2.117,0.8721,1
1.14,1.701,0.8953,1
1.27,1.912,0.8858,1
1.29,1.578,0.873,1
1.27,1.451,0.8601,1
1.28,1.493,0.8704,1
1.27,1.784,0.8881,1
1.29,1.668,0.8423,1
1.28,1.948,0.8765,1
1.28,1.523,0.8791,1
1.27,1.912,0.8874,1
1.27,1.596,0.8354,1
1.27,1.932,0.9056,1
1.27,1.499,0.8849,1
1.27,1.662,0.9226,1
1.27,1.697,0.8908,1
1.29,2.104,0.8965,1
1.29,1.979,0.8539,1
1.27,1.976,0.8848,1
1.29,1.798,0.8312,1
1.27,1.563,0.8592,1
1.14,1.591,0.8791,1
1.29,1.732,0.8146,1
1.27,1.716,0.8969,1
1.27,1.647,0.8703,1
1.27,2.049,0.83,1
1.12,1.656,0.9297,1
1.29,1.93,0.8934,1
1.27,1.663,0.8938,1
1.14,1.691,0.8994,1
1.29,2.086,0.8676,1
1.27,1.491,0.8697,1
1.27,1.71,0.8567,1
1.29,1.509,0.8767,1
1.27,2.092,0.9058,1
1.29,1.798,0.86,1
1.14,1.572,0.8892,1
1.27,1.944,0.8797,1
1.29,2.046,0.8345,1
1.27,1.642,0.8383,1
1.14,1.946,0.9099,1
1.29,1.525,0.8786,1
1.27,1.484,0.8667,1
1.27,1.707,0.8867,1
1.29,1.52,0.8806,1
1.3,1.774,0.882,1
1.29,1.647,0.852,1
1.29,1.608,0.8571,1
1.29,2.026,0.8379,1
1.29,1.666,0.8387,1
1.29,1.624,0.8727,1
1.29,1.738,0.8813,1
1.29,1.678,0.8689,1
1.27,1.721,0.8832,1
1.27,1.501,0.8854,1
1.14,1.702,0.8996,1
1.27,1.719,0.871,1
1.27,1.723,0.849,1
1.14,1.998,0.8717,1
1.14,2.077,0.908,1
1.12,1.757,0.913,1
1.27,1.609,0.8846,1
1.32,2.033,0.8282,1
1.29,1.672,0.8202,1
1.27,1.575,0.8738,1
1.29,1.936,0.8367,1
1.27,1.618,0.8661,1
1.29,1.632,0.8768,1
1.29,1.583,0.8495,1
1.29,1.94,0.8518,1
1.29,1.579,0.8641,1
1.27,1.496,0.8874,1
1.29,1.941,0.9001,1
1.29,1.58,0.8081,1
1.27,1.468,0.8762,1
1.27,1.984,0.8945,1
1.27,1.924,0.8867,1
1.29,2.049,0.8559,1
1.27,2.27,0.8699,1
1.29,1.442,0.8515,1
1.29,2.082,0.8231,1
1.29,2.113,0.8512,1
1.29,2.049,0.8828,1
1.29,1.953,0.8592,1
1.12,1.662,0.9333,1
1.14,1.948,0.8544,1
1.29,1.516,0.811,1
1.15,2.053,0.8869,1
1.27,1.516,0.8847,1
1.14,1.684,0.9104,1
1.31,1.415,0.8604,1
1.27,1.627,0.8617,1
1.29,1.769,0.81,1
1.29,1.648,0.8656,1
1.27,1.534,0.909,1
1.14,1.513,0.9174,1
1.27,1.837,0.8853,1
1.29,1.971,0.8819,1
1.29,1.889,0.8493,1
1.28,1.847,0.8634,1
1.27,1.672,0.8833,1
1.15,2.004,0.8854,1
1.29,2.064,0.8373,1
1.29,1.996,0.8396,1
1.27,2.053,0.8707,1
1.29,1.619,0.871,1
1.27,2.229,0.8904,1
1.29,1.669,0.8549,1
1.27,1.797,0.8882,1
1.11,1.931,0.9136,1
1.14,2.131,0.8947,1
1.29,2.067,0.8797,1
1.29,1.605,0.8805,1
1.29,1.858,0.8513,1
1.29,1.761,0.8396,1
1.12,1.591,0.9048,1
1.27,1.806,0.8506,1
1.28,1.587,0.8992,1
1.29,1.989,0.8435,1
1.14,2.431,0.9482,1
1.28,1.595,0.9137,1
1.28,1.59,0.8864,1
1.27,1.542,0.8392,1
1.29,1.931,0.8709,1
1.28,1.564,0.8976,1
1.28,2.605,0.9105,1
1.27,1.694,0.8837,1
1.29,1.812,0.86,1
1.12,1.916,0.9039,1
1.27,1.915,0.8543,1
1.29,1.842,0.8475,1
1.14,1.682,0.9366,1
1.28,1.676,0.8983,1
1.14,1.565,0.8859,1
1.14,2.07,0.8707,1
1.12,1.808,0.8866,1
1.27,1.785,0.8731,1
1.14,2.127,0.9006,1
1.29,1.666,0.8667,1
1.14,1.676,0.8914,1
1.14,1.638,0.9007,1
1.14,1.579,0.901,1
1.29,1.573,0.8616,1
1.28,2.014,0.8662,1
1.27,1.409,0.8721,1
1.29,1.707,0.8765,1
1.27,1.713,0.8518,1
1.27,1.807,0.8635,1
1.27,1.884,0.8842,1
1.14,1.606,0.8899,1
1.28,1.662,0.9101,1
1.12,1.526,0.9114,1
1.15,1.571,0.9143,1
1.14,1.532,0.8921,1
1.27,2.602,0.8975,1
1.29,1.533,0.8781,1
1.29,2.015,0.8496,1
1.11,1.547,0.9113,1
1.13,1.392,0.9468,1
1.11,2.051,0.9457,1
1.12,1.675,0.8677,1
1.12,1.894,0.9558,1
1.14,1.701,0.8849,1
1.09,1.784,0.848,1
1.12,1.728,0.8216,1
1.14,1.728,0.7224,1
1.09,1.439,0.5097,1
1.12,1.759,0.6296,1
1.12,1.663,0.5889,1
1.15,1.535,0.6814,1
1.12,1.738,0.5927,1
1.11,1.636,0.5453,1
1.13,1.661,0.5995,1
1.13,1.242,0.5324,1
1.15,1.551,0.6928,1
1.12,1.323,0.4633,1
1.12,1.615,0.5255,1
1.12,1.691,0.5093,1
1.13,1.305,0.4683,1
1.13,1.275,0.4404,1
1.12,1.376,0.4603,1
1.12,1.792,0.8057,1
1.3,1.955,0.836,1
1.12,1.557,0.909,1
1.12,1.683,0.9191,1
1.12,1.951,0.9026,1
1.27,2.058,0.8653,1
1.29,1.78,0.8025,1
1.28,1.928,0.8437,1
1.14,1.553,0.9054,1
1.29,1.703,0.8517,1
1.29,2.088,0.8715,1
1.29,1.494,0.8491,1
1.29,1.81,0.9136,1
1.29,1.471,0.8576,1
1.28,1.908,0.8828,1
1.29,2.115,0.8514,1
1.29,1.868,0.8509,1
1.28,1.731,0.8833,1
1.28,1.957,0.8747,1
1.28,1.914,0.871,1
1.28,1.76,0.8858,1
1.14,2.145,0.9132,1
1.28,2.087,0.8358,1
1.14,1.557,0.9078,1
1.28,1.526,0.8834,1
1.29,1.829,0.8637,1
1.14,1.783,0.8772,1
1.29,1.8,0.8614,1
1.29,1.487,0.838,1
1.28,1.792,0.8841,1
1.28,1.748,0.8757,1
1.12,1.619,0.9093,1
1.3,1.678,0.8693,1
1.28,1.854,0.855,1
1.29,1.521,0.8675,1
1.28,1.518,0.8647,1
1.28,1.669,0.8649,1
1.3,1.631,0.8415,1
1.28,1.796,0.866,1
1.27,1.77,0.8285,1
1.11,1.949,0.9016,1
1.12,1.931,0.9106,1
1.29,2.059,0.8498,1
1.28,1.584,0.8744,1
1.3,1.859,0.8466,1
1.28,1.815,0.8582,1
1.29,1.578,0.8437,1
1.29,2.072,0.8473,1
1.27,1.956,0.8931,1
